"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","IND_CD","IND_NAME","FOUNDATION_DATE","ADDRESS"
"1018161463",넷마블몬스터,김건,"20000807","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20000807","서울특별시 구로구 디지털로26길 38 (구로동,지타워)"
"1018639044",세가퍼블리싱코리아,사이토고,"20080407","58219",기타 게임 소프트웨어 개발 및 공급업,"20080407","서울특별시 서초구 서초대로 347 602호 (서초동,서초디타워)"
"1018671758",버튼테크놀로지,박준일,"20120430","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120430","경기도 부천시 소향로 131 7층 719호 (중동,일신빌딩)"
"1018684480",텐온스랩스,고희승,"20131025","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20131025","제주 제주시 아봉로 346, 303호 (월평동)"
"1018685548",서울인력개발원,이승달,"20131121","58219",기타 게임 소프트웨어 개발 및 공급업,"20131121",서울특별시 종로구 종로63가길 8-4 (숭인동)
"1018685698",엔터플,박현민,"20131115","58219",기타 게임 소프트웨어 개발 및 공급업,"20131115",서울특별시 영등포구 여의대로 14 17층 (여의도동)
"1018691598",크립토나이트코리아,정준혁,"20140717","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140717","서울특별시 강남구 언주로164길 38-2, 3층 (신사동)"
"1018703387",덕게임즈,최유석,"20191022","58219",기타 게임 소프트웨어 개발 및 공급업,"20191022","서울특별시 강남구 봉은사로 317 2층 2002호 (논현동,아모제논현빌딩)"
"1018801668",테일러메이드게임즈,서동현,"20200225","58212",모바일 게임 소프트웨어 개발 및 공급업,"20200225","서울특별시 서초구 강남대로37길 12-7 405호 (서초동,빌드온빌딩)"
"1018801799",씨앤피이엔엠,배훈열,"20200625","58219",기타 게임 소프트웨어 개발 및 공급업,"20200625","서울 금천구 가산디지털2로 98 2동 1107호 (가산동,롯데아이티캐슬)"
"1038701051",앤엑스유,김영남외 1명,"20181128","58219",기타 게임 소프트웨어 개발 및 공급업,"20181128","서울특별시 강남구 테헤란로 443 3층 (삼성동,애플트리타워)"
"1048659466",씽크펀,조한서,"20160112","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20160112","경기도 성남시 분당구 황새울로335번길 8 4층 (서현동,퍼스트비즈니스센터)"
"1048660963",판타조이,박상진,"20200714","58212",모바일 게임 소프트웨어 개발 및 공급업,"20200714","서울 금천구 가산디지털1로 225 7층 703호 (가산동,에이스가산포휴)"
"1048701786",펀토리,남궁회,"20200410","58212",모바일 게임 소프트웨어 개발 및 공급업,"20200410",충청북도 청주시 청원구 상당로 314 2층 지-21 (내덕동)
"1058187825",코드정보시스템,전춘제,"19970701","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19970701",경기도 고양시 일산동구 장항로 36 (백석동)
"1058192653",에프투시스템,박성규,"19960301","58219",기타 게임 소프트웨어 개발 및 공급업,"19960301","서울특별시 영등포구 경인로 775 3동 304호 (문래동3가,에이스하이테크시티)"
"1058196343",케이알지소프트,김판주,"19981117","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19981117","서울특별시 금천구 가산디지털1로 145 (가산동,에이스하이엔드타워3차)"
"1058600949",나스카,선경래,"19990626","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19990626",서울특별시 강남구 남부순환로 2736 (도곡동)
"1058661117",윈디맥스,김현태,"20031117","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20031117","서울 용산구 이촌로 5 1012호 (한강로3가,한강그랜드오피스텔)"
"1058741821",세븐웍스,김현진,"20100225","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100225","경기 용인시 기흥구 동백중앙로 225-6, 1층 166호 (중동,쥬네브스타월드빌딩)"
"1058746054",제이투와이소프트,정정열,"20100628","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100628","서울특별시 강남구 도곡로 205 7층 (역삼동,와이케이빌딩)"
"1058753706",티엔지소프트,장윤열,"20110126","58219",기타 게임 소프트웨어 개발 및 공급업,"20110126","서울 마포구 월드컵북로 396 1105-8 (상암동,누리꿈스퀘어연구개발타워)"
"1058760207",엘리샤,박진우,"20110715","58219",기타 게임 소프트웨어 개발 및 공급업,"20110715",서울 동작구 사당로16다길 6 (사당동)
"1058764746",넷마블,권영식외 1명,"20111117","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20111117","서울 구로구 디지털로26길 38 지하3~지상2층, 지상7~39층 (구로동,지타워)"
"1058777407",앱마루,이우영,"20120925","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120925",서울 마포구 광성로6길 34 2층 202호 (신수동)
"1058780367",디지털코넥스코리아,안병준,"20121212","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20121212","서울특별시 강남구 테헤란로82길 15, 827호 (대치동,디아이타워)"
"1058783893",본트리업,김진호,"20130227","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20130227","인천광역시 미추홀구 경원대로 869 1802호 (주안동,르네상스타워)"
"1058786003",티젝스,홍정대,"20130419","58219",기타 게임 소프트웨어 개발 및 공급업,"20130419","서울특별시 강서구 공항대로 227 11층 1111호 (마곡동,마곡센트럴타워1)"
"1058786551",케이제이게임즈,김경숙,"20130506","58219",기타 게임 소프트웨어 개발 및 공급업,"20130506","서울특별시 강서구 공항대로 227 1111호 (마곡동,마곡센트럴타워1차)"
"1058789373",펀그로브,이제형,"20130710","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20130710","서울 송파구 송파대로 260 5층 507-2호 (가락동,제일오피스텔)"
"1058792349",뷰아이디어,김하동,"20130910","58219",기타 게임 소프트웨어 개발 및 공급업,"20130910","서울특별시 마포구 매봉산로 18, 403호 (상암동,마포비즈니스센터)"
"1058792806",메가티앤티,안진옥,"20131001","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20131001","서울 마포구 포은로 90, 3층 (망원동)"
"1058794425",강게임즈,강일남,"20131112","58219",기타 게임 소프트웨어 개발 및 공급업,"20131112","서울특별시 마포구 월드컵북로 361, 905호 (상암동,DMC이안상암2단지)"
"1058798173",플레이포트코리아,변종수,"20140211","58219",기타 게임 소프트웨어 개발 및 공급업,"20140211","서울 강남구 논현로 641 614호 (논현동,대우아이비힐)"
"1058806914",엠스퀘어게임즈,신민식,"20140806","58219",기타 게임 소프트웨어 개발 및 공급업,"20140806","서울특별시 서초구 서초대로40길 96 2층 (서초동,와이제이빌딩)"
"1058810285",그루크리에이티브랩,김건형외 1명,"20141007","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20141007","인천광역시 부평구 부평대로 293 1013호 (청천동,인천콘텐츠기업지원센터)"
"1058810515",당신의집사,복해든누리외 1명,"20141115","58219",기타 게임 소프트웨어 개발 및 공급업,"20141115","서울특별시 강남구 테헤란로79길 6 5층 515호 (삼성동,제이에스타워)"
"1058812279",액트파이브,정순렬,"20141211","58219",기타 게임 소프트웨어 개발 및 공급업,"20141211",서울특별시 강남구 언주로 617 5층 (논현동)
"1058812584",퓨어넷,백륜기,"20141209","58219",기타 게임 소프트웨어 개발 및 공급업,"20141209","서울특별시 동대문구 고산자로 534 111동 1102호 (제기동,한신아파트)"
"1068183157",제페토,김지인,"19991105","58219",기타 게임 소프트웨어 개발 및 공급업,"19991105","서울특별시 마포구 마포대로 45 6층 (도화동,일진빌딩)"
"1068628635",아비츠커뮤니케이션즈,최영호,"20040527","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20040527","충청남도 천안시 서북구 직산읍 직산로 136 (삼은리,충남테크노파크영상미디어센터)"
"1068650423",페이온,이도건,"20070403","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20070403","대구광역시 달서구 성서공단로11길 32 2동 205호 (호림동,연구)"
"1068686538",비버커뮤니케이션,채승문,"20120524","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120524",서울 용산구 새창로42길 10 (원효로2가)
"1068687726",어스엔터테인먼트,조은석,"20120724","58219",기타 게임 소프트웨어 개발 및 공급업,"20120724","서울특별시 용산구 원효로 128, 1009호 (원효로3가,이테크밸리)"
"1068688574",엔트리소프트,최우진,"20120831","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120831",서울특별시 용산구 청파로73길 91-2 101호 (서계동)
"1068692480",해머엔터테인먼트,박정규,"20130307","58219",기타 게임 소프트웨어 개발 및 공급업,"20130307",경기도 파주시 회동길 363-8 307호 (서패동)
"1068692549",치즈인터렉티브,최경원외 1명,"20130307","58219",기타 게임 소프트웨어 개발 및 공급업,"20130307","서울특별시 종로구 율곡로 6 A동 16층 (중학동,14 트윈트리타워)"
"1068694095",아이엘오지,신기보,"20130528","58219",기타 게임 소프트웨어 개발 및 공급업,"20130528","경기도 수원시 영통구 청명로21번길 19 350호 (영통동,탑빌딩)"
"1068702006",차이나웨이,김동화,"20131001","58219",기타 게임 소프트웨어 개발 및 공급업,"20131001","서울특별시 구로구 디지털로26길 61, 2층 205-3호 (구로동,에이스하이엔드타워2차)"
"1078149583",룽투코리아,양성휘,"19930715","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19930715",경기 안양시 동안구 부림로170번길 41-13 4층 (관양동)
"1078163358",에프액시스,손용기,"19980313","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19980313","경기도 수원시 팔달구 권광로 184, 102동 1205호 (인계동,캐슬타워)"
"1078198309",소프트닉스,신우제외 1명,"20010406","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20010406","서울 강남구 선릉로93길 40 7층 (역삼동,나라키움역삼에이빌딩)"
"1078616262",스코넥엔터테인먼트,황대실,"20020416","58219",기타 게임 소프트웨어 개발 및 공급업,"20020416","서울 강남구 선릉로 577 9층 (역삼동,조선내화빌딩)"
"1078632108",제릭스테크놀로지,오승우,"20021220","58219",기타 게임 소프트웨어 개발 및 공급업,"20021220","서울 금천구 가산디지털1로 219 1407호 (가산동,벽산디지털밸리6차)"
"1078636763",놉센,강무현,"20030704","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20030704","서울특별시 강남구 영동대로 602 N동 6층 185호 (삼성동,삼성동미켈란107)"
"1078638529",한글메일,배진현,"20030818","58219",기타 게임 소프트웨어 개발 및 공급업,"20030818","서울 영등포구 국회대로62길 9, 902호 (여의도동,산림비전센터)"
"1078721419",네시삼십삼분,한성진,"20090611","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20090611",서울특별시 강남구 삼성로104길 22 (삼성동)
"1078732726",위메이드플레이,이호대,"20100225","58212",모바일 게임 소프트웨어 개발 및 공급업,"20100225","경기 성남시 분당구 황새울로360번길 42 9층,14층 (서현동)"
"1078791934",에이알정보기술,강범식,"20130408","58219",기타 게임 소프트웨어 개발 및 공급업,"20130408","서울특별시 영등포구 경인로 775 1동 803-224호 (문래동3가,에이스하이테크시티)"
"1078799955",엔토스게임즈,정승호,"20130806","58219",기타 게임 소프트웨어 개발 및 공급업,"20130806","경기도 안양시 동안구 벌말로 123 A동 1111호 (관양동,평촌스마트베이)"
"1078820474",에스피트윈,나민채,"20140529","58219",기타 게임 소프트웨어 개발 및 공급업,"20140529","서울특별시 성동구 성수이로10길 14 1105호 (성수동2가,에이스하이엔드성수타워)"
"1078827934",액션스퀘어,김연준,"20140827","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140827","서울특별시 강남구 테헤란로 419 20층 (삼성동,강남파이낸스플라자)"
"1078829193",삼성게임즈,배치규,"20140918","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140918","서울 영등포구 국회대로28길 17 4층 4023호 (당산동3가,한얼빌딩)"
"1088116843",컴투스,송재준외 1명,"19980807","58212",모바일 게임 소프트웨어 개발 및 공급업,"19980807",서울 금천구 가산디지털1로 131 에이동 (가산동)
"1088192517",지피엠,박성준,"20100531","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100531","인천 연수구 인천타워대로 323 B동 30층 17호 (송도동,센트로드)"
"1088609861",데브몬스터,김수홍,"20140203","58219",기타 게임 소프트웨어 개발 및 공급업,"20140203","서울특별시 용산구 원효로 216 109동 1403호 (신계동,용산이편한세상)"
"1088613967",포에스게임즈,박민식,"20141013","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20141013","서울특별시 마포구 백범로 35 3층 (신수동,서강대학교 아루페관)"
"1088615193",케이에스에너지,김일권,"20150114","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20150114","경기도 성남시 분당구 수내로46번길 12 5층 (수내동,코아빌딩)"
"1088617755",알에스지게임즈,김상원,"20210312","58219",기타 게임 소프트웨어 개발 및 공급업,"20210312","인천광역시 연수구 송도문화로 119 지원센터동 비1006 에스13 (송도동,인천글로벌캠퍼스)"
"1088701056",시프트케이,하종관,"20190211","58219",기타 게임 소프트웨어 개발 및 공급업,"20190211",서울특별시 강남구 언주로 702 4층 (논현동)
"1098151993",씨테크놀로지시스템,황우정,"19971022","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19971022",서울특별시 서대문구 신촌로 51 189호 (창천동)
"1098154646",우리텔레코뮤니케이션,임동근,"19980825","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19980825","서울 강서구 곰달래로 88, 2층"
"1098157624",에어넷비즈니스서비스,김민호,"19990521","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19990521","서울특별시 강남구 테헤란로 427, 14층 (삼성동,미차빌딩)"
"1098195399",유비펀,박진환,"20050105","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20050105","서울특별시 강남구 논현로 529 2층 (역삼동,마린빌딩)"
"1098624394",엔틱게임월드,최준규,"20100716","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100716","경기도 성남시 분당구 판교역로 178, 502호 (삼평동,서건타워)"
"1098633350",누리게임즈,채경석,"20120213","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20120213","서울특별시 마포구 월드컵북로 396 1011호 (상암동,누리꿈스퀘어알앤디타워)"
"1098648440",민트쿠키,김진수외  1명,"20140521","58219",기타 게임 소프트웨어 개발 및 공급업,"20140521","서울 강동구 천호대로 1121, 205호 (길동,일성하이츠오피스텔)"
"1098649487",앱플러,엄대진,"20140709","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20140709","경기 성남시 분당구 판교로255번길 9-22 4층 409호 (삼평동,판교우림더블유시티)"
"1098700119",릴라소프트,김준한,"20150416","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20150416","서울특별시 강남구 테헤란로87길 29 903호 (삼성동,엠타워)"
"1108135300",미소,김중섭,"19950121","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19950121","서울 영등포구 당산로40길 16, 302호"
"1108182652",디지털프로그,노태윤,"20080625","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20080625","서울특별시 마포구 독막로28길 10 109동 비101-950호 (신수동,밤섬경남아너스빌)"
"1108187021",에스에프플래닛,정철,"20090803","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20090803",서울특별시 강남구 선릉로112길 84 (삼성동)
"1108191224",어썸피스,김재우,"20100702","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20100702","서울특별시 관악구 남부순환로 1926 7층 (봉천동,경동제약빌딩)"
"1108197607",디자인펙터,정승균,"20111014","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20111014",서울 은평구 서오릉로 88-12 103호 (대조동)
"1108198722",코스타,김민형외 1명,"20120125","58219",기타 게임 소프트웨어 개발 및 공급업,"20120125",경기도 김포시 고촌읍 수기로 56 304호 (신곡리)
"1108700313",익센트릭게임그루,박형준,"20160404","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20160404","경상북도 경산시 삼풍로 27 글로벌벤처동 2501호,2502호 (삼풍동)"
"1118133867",슈퍼클레이,한수진,"20161018","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20161018","서울특별시 마포구 연희로 11, 5층 (동교동,한국특허정보원빌딩)"
"1118438733",미투젠리미티드(영업소),성종원,"20190604","58212",모바일 게임 소프트웨어 개발 및 공급업,"20190604",서울 강남구 학동로 343 6층 (논현동)
"1118601211",데브플로어,조용길,"20180806","58212",모바일 게임 소프트웨어 개발 및 공급업,"20180806","서울특별시 금천구 가산디지털1로 145 807호 104 (가산동,에이스하이엔드타워3차)"
"1118701218",노드브릭,신휘준,"20180828","58219",기타 게임 소프트웨어 개발 및 공급업,"20180828","서울특별시 성동구 연무장19길 14 1층 (성수동2가,삼원물산)"
"1128143261",웹젠온네트,김태영,"19960801","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"19960801","경기 성남시 분당구 판교로 242 B동 5층 (삼평동,판교디지털센터)"
"1138600426",에이앤비소프트,안장천,"20050902","58219",기타 게임 소프트웨어 개발 및 공급업,"20050902","서울특별시 서초구 방배천로2길 5 6층 612호 (방배동,성지빌딩)"
"1138605931",엠플라이트,강지은,"20060602","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20060602","경기도 파주시 송학2길 40-9 101동 201호 (야당동,다울블리스)"
"1138619736",씨엘게임즈,최병두,"20080201","58211",유선 온라인 게임 소프트웨어 개발 및 공급업,"20080201","경기도 성남시 수정구 창업로 54, 8층 803호 (시흥동,글로벌게임허브센터)"
