사업자등록번호,순번,데이터수집일자,기업코드,경영진명,직위코드,직위명칭,담당업무명,등기상태,등기상태명,경영진영문명,우편번호,주소,상세주소,학력명세,주요경력사항,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1010100001,1,,,,,,,,,,,,,,,I,20221104,,
1010200002,1,20220214,2059915,함**,28,대표이사,대표이사 (경영총괄),,,"Ham, Dong Jun",,,,,롯데캐논오에이시스템 ,I,20221104,,
1010200002,2,20220107,2059915,함**,28,대표이사,대표이사 (경영총괄),,,"Ham, Dong Jun",,,,,롯데캐논오에이시스템 ,I,20221104,,
1010200002,3,20220107,2059915,함**,28,대표이사,대표이사 (경영총괄),,,"Ham, Dong Jun",,,,,롯데캐논오에이시스템 ,I,20221104,,
1010600003,1,20220107,2059915,함**,28,대표이사,대표이사 (경영총괄),,,"Ham, Dong Jun",,,,,롯데캐논오에이시스템 ,I,20221104,,
1010600004,1,20220107,2059915,함**,28,대표이사,대표이사 (경영총괄),,,"Ham, Dong Jun",,,,,롯데캐논오에이시스템 ,I,20221104,,
1010700005,1,20220223,2811284,장**,28,대표이사,대표 (경영총괄),,,Jang Sung Sun,,,,,미국미네소타대학 연수교육생,I,20221104,,
1010700005,2,20220223,2811284,조**,71,이사,이사 (이사),,,,,,,,사람과지구어머니 기획실장,I,20221104,,
1010700005,3,20220107,2811284,장**,28,대표이사,대표 (경영총괄),,,Jang Sung Sun,,,,,미국미네소타대학 연수교육생,I,20221104,,
1010700005,4,20220107,2811284,조**,71,이사,이사 (이사),,,,,,,,사람과지구어머니 기획실장,I,20221104,,
1010700005,5,20220107,2811284,조**,71,이사,이사 (이사),,,,,,,,사람과지구어머니 기획실장,I,20221104,,
1011100006,1,20220223,5971958,전**,28,대표이사,대표 (총괄),,,HEEJAE JUN,,,,,디맨드 서비스디자인,I,20221104,,
1011100006,2,20220107,5971958,전**,28,대표이사,대표 (총괄),,,HEEJAE JUN,,,,,디맨드 서비스디자인,I,20221104,,
1011100006,3,20220107,5971958,전**,28,대표이사,대표 (총괄),,,HEEJAE JUN,,,,,디맨드 서비스디자인,I,20221104,,
1014000007,1,20220107,5971958,전**,28,대표이사,대표 (총괄),,,HEEJAE JUN,,,,,디맨드 서비스디자인,I,20221104,,
1018100008,1,20220223,1560619,양**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100008,2,20220223,1560619,장**,30,대표이사사장,,,,,,,,청주대학교,(주)메인세일 대표이사,I,20221104,,
1018100008,3,20220107,1560619,양**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100008,4,20220107,1560619,장**,30,대표이사사장,,,,,,,,청주대학교,(주)메인세일 대표이사,I,20221104,,
1018100008,5,20220107,1560619,장**,30,대표이사사장,,,,,,,,청주대학교,(주)메인세일 대표이사,I,20221104,,
1018100009,1,20220107,1560619,장**,30,대표이사사장,,,,,,,,청주대학교,(주)메인세일 대표이사,I,20221104,,
1018100010,1,20220107,1560619,장**,30,대표이사사장,,,,,,,,청주대학교,(주)메인세일 대표이사,I,20221104,,
1018100011,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100011,2,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100012,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100013,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100014,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100015,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100016,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100017,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100018,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100019,1,20220418,1291215,장**,30,대표이사사장,,,,,,,,연세대학교 행정대학원(1978)(1978),(주)교원 회장-총괄,I,20221104,,
1018100020,1,20220223,1777018,채**,31,사장,,1,등기,Chae Eun Mi,,,,헬싱키국제경영대학원,페더럴익스프레스코리아(주) 부장,I,20221104,,
1018100020,2,20220107,1777018,채**,31,사장,,1,등기,Chae Eun Mi,,,,헬싱키국제경영대학원,페더럴익스프레스코리아(주) 부장,I,20221104,,
1018100020,3,20220107,1777018,채**,31,사장,,1,등기,Chae Eun Mi,,,,헬싱키국제경영대학원,페더럴익스프레스코리아(주) 부장,I,20221104,,
1018100021,1,20220418,1180344,박**,28,대표이사,,,,,,,,고려대학교 대학원 경제학(1988),(주)머니투데이 기자,I,20221104,,
1018100021,2,20220418,1180344,박**,28,대표이사,,,,,,,,고려대학교 대학원 경제학(1988),(주)머니투데이 기자,I,20221104,,
1018100022,1,20220418,1180344,박**,28,대표이사,,,,,,,,고려대학교 대학원 경제학(1988),(주)머니투데이 기자,I,20221104,,
1018100023,1,20220223,2146285,데**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100023,2,20220107,2146285,데**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100023,3,20220107,2146285,데**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100024,1,20220223,1779746,김**,71,이사,,,,,,,,,,I,20221104,,
1018100024,2,20220107,1779746,김**,71,이사,,,,,,,,,,I,20221104,,
1018100024,3,20220107,1779746,김**,71,이사,,,,,,,,,,I,20221104,,
1018100025,1,20220223,1296507,오**,30,대표이사사장,,,,,,,,서강대학교 신문방송학과 박사과정,(주)오마이뉴스 대표이사,I,20221104,,
1018100025,2,20220223,1296507,방**,71,이사,부사장 (경영 총괄 관리),,,,,,,,,I,20221104,,
1018100025,3,20220107,1296507,오**,30,대표이사사장,,,,,,,,서강대학교 신문방송학과 박사과정,(주)오마이뉴스 대표이사,I,20221104,,
1018100025,4,20220107,1296507,방**,71,이사,부사장 (경영 총괄 관리),,,,,,,,,I,20221104,,
1018100025,5,20220107,1296507,방**,71,이사,부사장 (경영 총괄 관리),,,,,,,,,I,20221104,,
1018100026,1,20220107,1296507,방**,71,이사,부사장 (경영 총괄 관리),,,,,,,,,I,20221104,,
1018100027,1,20220223,4024490,김**,28,대표이사,대표이사 (경영총괄),,,Kim Hee Chul,,,,,(주)보험계리법인써미트 대표이사,I,20221104,,
1018100027,2,20220223,4024490,이**,71,이사,이사 (기획총괄),,,,,,,,,I,20221104,,
1018100027,3,20220107,4024490,김**,28,대표이사,대표이사 (경영총괄),,,Kim Hee Chul,,,,,(주)보험계리법인써미트 대표이사,I,20221104,,
1018100027,4,20220107,4024490,이**,71,이사,이사 (기획총괄),,,,,,,,,I,20221104,,
1018100027,5,20220107,4024490,이**,71,이사,이사 (기획총괄),,,,,,,,,I,20221104,,
1018100028,1,20220223,1538031,오**,30,대표이사사장,,,,,,,,충남대학교,(주)계림북스 각자대표이사,I,20221104,,
1018100028,2,20220223,1538031,오**,30,대표이사사장,,,,,,,,대만 담강대학교 국제경제학과(1991),(주)애플비 각자대표이사-전반,I,20221104,,
1018100028,3,20220107,1538031,오**,30,대표이사사장,,,,,,,,충남대학교,(주)계림북스 각자대표이사,I,20221104,,
1018100028,4,20220107,1538031,오**,30,대표이사사장,,,,,,,,대만 담강대학교 국제경제학과(1991),(주)애플비 각자대표이사-전반,I,20221104,,
1018100028,5,20220107,1538031,오**,30,대표이사사장,,,,,,,,대만 담강대학교 국제경제학과(1991),(주)애플비 각자대표이사-전반,I,20221104,,
1018100029,1,20220418,1725967,김**,28,대표이사,,,,,,,,Purdue Univ. 졸업,(주)케이아이엔엑스 사업부KTH IDC사업부,I,20221104,,
1018100029,2,20220418,1725967,김**,60,기타비상무이사,,,,,13471,경기도 성남시 분당구 서판교로,"193, 1302-티201 (판교동,판교원마을)",연세대학교,(주)가비아 대표이사가비아넷대표,I,20221104,,
1018100029,3,20220418,1725967,원**,60,기타비상무이사,,,,,,,,연세대학교,(주)가비아 부사장(주)가비아씨엔에스 대표이사,I,20221104,,
1018100029,4,20220418,1725967,남**,71,이사,,,,,,,,,(주)씨디네트웍스 영업부문 이사,I,20221104,,
1018100029,5,20220418,1725967,안**,71,이사,,,,,,,,,(주)케이아이엔엑스 사업그룹장LGU+ E-biz 사업부,I,20221104,,
1018100029,6,20220418,1725967,윤**,71,이사,재무,2,비등기,Yun Won Cheol,,,,서강대학교,(주)가비아 경영기획(주)후이즈 전략기획,I,20221104,,
1018100029,7,20220418,1725967,최**,71,이사,,,,,,,,,(주)피플커넥트 관리총괄 이사(주)케이아이엔엑스 기획팀장,I,20221104,,
1018100029,8,20220418,1725967,장**,76,사외이사,,,,,,,,아주대학교 대학원 정보통신경영학,(주)세종텔레콤 본부장(주)드림라인 본부장,I,20221104,,
1018100029,9,20220418,1725967,임**,999,기타,,,,,,,,,KT 텔레캅 본부장KT 에스테이트 본부장KT 데이터사업담당 상무,I,20221104,,
1018100029,10,20220418,1725967,임**,999,기타,,,,,,,,,KT 텔레캅 본부장KT 에스테이트 본부장KT 데이터사업담당 상무,I,20221104,,
1018100030,1,20220418,1725967,임**,999,기타,,,,,,,,,KT 텔레캅 본부장KT 에스테이트 본부장KT 데이터사업담당 상무,I,20221104,,
1018100031,1,20220418,1725967,임**,999,기타,,,,,,,,,KT 텔레캅 본부장KT 에스테이트 본부장KT 데이터사업담당 상무,I,20221104,,
1018100032,1,20220418,1725967,임**,999,기타,,,,,,,,,KT 텔레캅 본부장KT 에스테이트 본부장KT 데이터사업담당 상무,I,20221104,,
1018100033,1,20220226,1642481,강**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100033,2,20220226,1642481,박**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100033,3,20220107,1642481,강**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100033,4,20220107,1642481,박**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100033,5,20220107,1642481,박**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100034,1,20220418,1981843,송**,30,대표이사사장,,,,,,,,,홈컴퓨터 대표,I,20221104,,
1018100034,2,20220418,1981843,송**,30,대표이사사장,,,,,,,,,홈컴퓨터 대표,I,20221104,,
1018100035,1,20220418,1981843,송**,30,대표이사사장,,,,,,,,,홈컴퓨터 대표,I,20221104,,
1018100036,1,20220418,1981843,송**,30,대표이사사장,,,,,,,,,홈컴퓨터 대표,I,20221104,,
1018100037,1,20220418,1981843,송**,30,대표이사사장,,,,,,,,,홈컴퓨터 대표,I,20221104,,
1018100038,1,20220226,1146772,안**,30,대표이사사장,,,,,,,,,25년,I,20221104,,
1018100038,2,20220226,1146772,김**,71,이사,상무 (가치 평가 / M&A),,,,,,,,22년,I,20221104,,
1018100038,3,20220107,1146772,스**,30,대표이사사장,,,,,,,,,밀리만코리아(주) 대표이사,I,20221104,,
1018100038,4,20220107,1146772,김**,71,이사,상무 (가치 평가 / M&A),,,,,,,,22년,I,20221104,,
1018100038,5,20220107,1146772,안**,71,이사,감사 (경영총괄),,,"An, Chi Hong",,,,,25년,I,20221104,,
1018100038,6,20220107,1146772,안**,71,이사,감사 (경영총괄),,,"An, Chi Hong",,,,,25년,I,20221104,,
1018100039,1,20220107,1146772,안**,71,이사,감사 (경영총괄),,,"An, Chi Hong",,,,,25년,I,20221104,,
1018100040,1,20220107,1146772,안**,71,이사,감사 (경영총괄),,,"An, Chi Hong",,,,,25년,I,20221104,,
1018100041,1,20220226,1216183,김**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100041,2,20220107,1216183,김**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100041,3,20220107,1216183,김**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100042,1,20220107,1216183,김**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018100043,1,20220418,1151863,김**,28,대표이사,대표이사 (경영총괄),,,"Kim, Hyung Geun",,,,American Univ. 언론대학원 석사,서울셀렉션(주) 대표이사,I,20221104,,
1018100043,2,20220418,1151863,양**,71,이사,이사 (-),,,,,,,,,I,20221104,,
1018100043,3,20220418,1151863,양**,71,이사,이사 (-),,,,,,,,,I,20221104,,
1018100044,1,20220418,1151863,양**,71,이사,이사 (-),,,,,,,,,I,20221104,,
1018100045,1,20220418,1151863,양**,71,이사,이사 (-),,,,,,,,,I,20221104,,
1018100046,1,20220418,1151863,양**,71,이사,이사 (-),,,,,,,,,I,20221104,,
1018100047,1,20220418,1151863,양**,71,이사,이사 (-),,,,,,,,,I,20221104,,
1018200048,1,20220226,1992675,박**,30,대표이사사장,대표이사 (),,,"Park, Mong Ku",,,,,(재)한국출판연구소 ,I,20221104,,
1018200048,2,20220107,1992675,박**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200048,3,20220107,1992675,박**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200049,1,20220226,2881976,홍**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200049,2,20220107,2881976,홍**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200049,3,20220107,2881976,홍**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200050,1,20220226,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200050,2,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200050,3,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200051,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200052,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200053,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200054,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018200055,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018500056,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018500057,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018600058,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018600059,1,20220107,2837602,이**,30,대표이사사장,,,,,,,,,,I,20221104,,
1018600060,1,20220226,2170942,유**,30,대표이사사장,,,,,,,,경북대학교,한진해운 서울판매지점 수출판매3팀장 상무보,I,20221104,,
1018600060,2,20220107,2170942,유**,30,대표이사사장,,,,,,,,경북대학교,한진해운 서울판매지점 수출판매3팀장 상무보,I,20221104,,
1018600060,3,20220107,2170942,유**,30,대표이사사장,,,,,,,,경북대학교,한진해운 서울판매지점 수출판매3팀장 상무보,I,20221104,,
1018600061,1,20220107,2170942,유**,30,대표이사사장,,,,,,,,경북대학교,한진해운 서울판매지점 수출판매3팀장 상무보,I,20221104,,
1018600062,1,20220107,2170942,유**,30,대표이사사장,,,,,,,,경북대학교,한진해운 서울판매지점 수출판매3팀장 상무보,I,20221104,,
1018600063,1,20220226,2614718,한**,71,이사,,,,,,,,,,I,20221104,,
1018600063,2,20220107,2614718,한**,71,이사,,,,,,,,,,I,20221104,,
