사업자등록번호,순번,데이터수집일자,데이터구분,과제명,과제코드,성과ID,성과고유번호,성과년도,과제기준년도,부처코드,부처명,예산사업코드,예산사업명,연구수행기관코드,연구수행주체명,6T코드,6T분류명,국가기술지도코드,국가기술지도명,과학기술표준대분류코드,과학기술표준대분류명,과학기술표준중분류코드,과학기술표준중분류명,과학기술표준소분류코드,과학기술표준소분류명,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1010100001,1,20220330,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010100001,2,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010100001,3,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010200002,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010200002,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010600003,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010600004,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010600004,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010700005,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1010700005,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1011100006,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1011100006,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1014000007,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100008,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100008,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100009,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100009,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100010,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100011,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100011,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100012,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100012,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100013,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100013,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100014,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100015,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100015,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100016,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100017,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100018,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100019,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100020,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100020,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100021,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100021,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100022,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100023,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100023,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100024,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100024,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100025,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100025,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100026,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100027,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100027,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100028,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100028,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100029,1,20220322,EQU,클라우드 기반 차세대 렌더팜 서비스 시스템 개발,1375026393,20170426000000209205,NFEC-2017-04-237578,2016,2016,P19,문화체육관광부,161135,문화기술연구개발,ABP2261,매***,060112,디지털영상·음향 및 디자인기술,060000,위의 국가전략기술에 속하지 않는 기타 연구,HE1404,디지털 영상,,,,,I,20221104,,
1018100029,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100030,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100030,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100031,1,20220322,EQU,재조합 항원 개발과 대상포진 백신의 비임상 시험 및 임상 1상 IND 승인,1465016577,20150105000000183898,NFEC-2015-01-195433,2014,2014,P22,보건복지부,2014-KHIDI-0864,감염병위기대응기술개발,ZD01121,아***,020211,바이오신약 개발기술,050207,감염병 대응 기술,LC0316,백신,,,,,I,20221104,,
1018100031,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100032,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100033,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100033,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100034,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100034,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100035,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100036,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100037,1,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100038,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100038,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100039,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100039,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100040,1,20220322,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
1018100040,2,,,,,,,,,,,,,,,,,,,,,,,,,I,20221104,,
