,사업자등록번호,데이터수집일자,기업명,기업영문명,대표자명,종업원수,종업원수기준년월,산업분류코드,산업분류코드설명,기업규모,기업형태,업태명,설립일,이메일주소,전화번호,팩스전화번호,우편번호,주소,상세주보,휴폐업구분,상태발생일자,휴폐업수정일,CRI등급,CRI기준일,결산일자,매출액,영업이익,자본총계금액,부채총계금액,자산총계금액,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
0,1050508965,20220107,크린토**,Cleanto***,강**,,,96910,세탁업,중소기업,폐업,기타서비스업,,,,,03998,서울 마포구 동교로17길,"91, 1층 (성산동)",폐업,20211231,20211231,D,20220105,,,,,,,I,20221104,,
1,1010204456,20220107,씨앤피비즈***,C&P BIZ SOLUT***,함**,5.0,2021-06,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/서비스/소매/제조업/통신업,20000414,djham29@hanmail.net,02-334-0349,02-338-0349,03966,서울 마포구 월드컵북로 137,"(성산동,C.S타워 B3호)",,,,B3,20211231,20201231,984750.0,76381.0,84972.0,866105.0,951077.0,I,20221104,,
2,1048107174,20220107,(주)씨트랜***,"SEATRANS SHIPPING CO.,***",주**,12.0,2020-12,50130,기타 해상 운송업,중소기업,일반,도매업/서비스,20010222,,02-322-4890,02-322-4891,04031,서울 마포구 월드컵북로1길 26-16,"2층 (서교동,G-Art)",,,,B2,20211231,20201231,26180234.0,489115.0,3425985.0,3446960.0,6872945.0,I,20221104,,
3,1018102731,20220107,(주)파***,"Power PT Co., L***",이**,18.0,2019-03,73203,시각 디자인업,중소기업,일반,서비스외,20030909,account@powerpt.co.kr,02  733 8209,02  733 8205,04172,서울 마포구 삼개로 27,2층 (도화동),,,,C2,20211231,20171231,1167128.0,39491.0,484192.0,1747684.0,2231875.0,I,20221104,,
4,1018606595,20220107,(주)에이치제이디벨***,"HJ Development Co., L***",홍**,3.0,2020-12,68122,비주거용 건물 개발 및 공급업,중소기업,외감,서비스 외,20090520,,02  718 7844,02  721 5550,04174,서울특별시 마포구 마포대로 34,(도화동),,,,C3,20211231,20201231,274000.0,-322170.0,-22924093.0,62469943.0,39545850.0,I,20221104,,
5,1018609361,20220107,(주)제인디엠씨***,"JaneDMC Korea Co., L***",한**,19.0,2020-04,75210,여행사업,중소기업,일반,"도매/도매 및 소매업/사업시설관리 및 사업지원서비스업/서비스/전문, 과학 및 기술서비스업",20060103,darling@janetour.com,02  720 7506,02  720 7502,04209,서울특별시 마포구 만리재로 51,4층 (신공덕동),,,,C2,20211231,20201231,894211.0,-1241736.0,677717.0,3392238.0,4069955.0,I,20221104,,
6,1018606703,20220107,(주)에포크미디어***,Epoch Media Korea I***,정**,18.0,2021-12,59120,"영화, 비디오물 및 방송 프로그램 제작 관련 서비스업",중소기업,일반,서비스/정보통신업,20130424,,02-732-8608,02-732-8609,04146,서울 마포구 마포대로 109,"N동 34층 3403호 (공덕동,롯데캐슬프레지던트)",,,,A2,20211231,20201231,2806132.0,362894.0,743434.0,474634.0,1218068.0,I,20221104,,
7,1048106371,20220107,(주)래딕스글***,"RADIXGLOBIZ CO.,L***",조**,25.0,2021-06,46320,가공식품 도매업,중소기업,일반,도．소매/도매/부동산/서비스,19970801,jwjung@theradix.co.kr,02-706-8715,02-737-2077,04168,서울 마포구 마포대로 86,"8층 (도화동,창강빌딩)",,,,B3,20211231,20201231,33396670.0,350507.0,4092978.0,6367250.0,10460229.0,I,20221104,,
8,1048104500,20220107,아라마크***,"Aramark Co., L***",심성호외***,789.0,2021-03,56130,기관 구내식당업,중견기업,외감,도매/소매/음식,19930701,hong-sh@arakor.co.kr,02  32788000,02  778 9380,04143,서울 마포구 마포대로 137,8층 (공덕동),,,,A3,20211231,20200930,98284864.0,-4162776.0,16054148.0,17761827.0,33815975.0,I,20221104,,
9,1010109319,20220107,드림오**,dream off***,박**,1.0,2020-06,46800,상품 종합 도매업,중소기업,일반,"도매,소매",20020501,,02 336 5351,02 336 5344,04030,서울 마포구 동교로 150,(서교동),,,,B2,20211231,20191231,178547.0,12955.0,-289.0,2182.0,1893.0,I,20221104,,
