,사업자등록번호,데이터수집일자,기업명,대표자명,전화번호,팩스전화번호,우편번호,주소,상세주소,기업형태,기업규모,공기업구분,산업분류코드,산업분류코드설명,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
0,1068101837,20211228,(주)세***,박**,02-6226-9900,02-6226-9920,04799,서울 성동구 광나루로8길 31,406호~408호 (성수동2가),일반,중소기업,일반기업,42322,내부 통신배선 공사업,I,20221104,,
1,2148601823,20211228,(주)포***,송**,02-2113-9400,02-2113-9494,08501,서울특별시 금천구 가산디지털2로 184,"1308호 (가산동,벽산디지털밸리2차)",외감,중소기업,일반기업,46522,통신·방송장비 및 부품 도매업,I,20221104,,
2,8308707172,20211228,(주)이***,이**,032-719-4881,032-719-4946,21558,인천 남동구 인주대로 585,"8층 801호 (구월동,한국씨티은행)",일반,중소기업,일반기업,58222,응용 소프트웨어 개발 및 공급업,I,20221104,,
3,1208104404,20211228,한솔피엔에스***,강**,02  22050305,02  22050505,04557,서울특별시 중구 퇴계로 213,"5층 (충무로4가,일흥빌딩)",거래소상장,중견기업,일반기업,46799,그 외 기타 상품 전문 도매업,I,20221104,,
4,8580704454,20211228,신**,신**,,,44217,울산 북구 약수9길,"20, 610호 (중산동,이화제일아파트)",일반,중소기업,일반기업,42491,"미장, 타일 및 방수 공사업",I,20221104,,
5,3218703196,20211228,(주)**,홍**,061-723-1787,061-723-1788,57932,전라남도 순천시 왕지4길,4-9 (왕지동),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
6,1368108922,20211228,(주)대***,김**,033-671-0871,033-636-1025,25021,강원 양양군 양양읍 관아길 4-109,102호 (구교리),일반,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
7,2248106983,20211228,(주)대성***,권**,033-748-8400,033-748-8404,26319,강원 원주시 북원로2685번길 33,(태장동),일반,중소기업,일반기업,42499,그 외 기타 건축 마무리 공사업,I,20221104,,
8,6208103192,20211228,(주)대성이***,박**,052 2520453,052 2520455,45013,울산 울주군 서생면 진하해변길 72,2층 (진하리),일반,중소기업,일반기업,42311,일반전기 공사업,I,20221104,,
9,7810304305,20211228,대성**,김*,,,61241,광주 북구 천변우로283번길,28 (누문동),일반,중소기업,일반기업,41111,단독 주택 건설업,I,20221104,,
10,6218105957,20211228,에스디종합건설***,김**,055 273 0350,055 273 0359,51515,경남 창원시 성산구 중앙대로 95,"302호 (중앙동,기산파라다이스)",일반,중소기업,일반기업,41100,건물 건설업,I,20221104,,
11,6038107453,20211228,(주)엠제***,김**,051 271 3193,051 271 3195,49430,부산 사하구 하신번영로201번길 36,2층 (하단동),일반,중소기업,일반기업,42310,전기 공사업,I,20221104,,
12,2068606866,20211228,지우토건***,윤**,02-446-1292,02-457-6800,05047,서울특별시 광진구 아차산로 458,(구의동),일반,중소기업,일반기업,41229,기타 토목 시설물 건설업,I,20221104,,
13,2148600581,20211228,한국전자인증***,신**,02-2055-2730,02-2055-2734,06633,서울 서초구 서초대로 320,"7층 (서초동,하림빌딩)",코스닥등록,중소기업,일반기업,58222,응용 소프트웨어 개발 및 공급업,I,20221104,,
14,1218108196,20211228,(주)송림정***,강**,032 762 3355,032 765 3018,22782,인천광역시 서구 가정로 323,(신현동),일반,중소기업,일반기업,26410,유선 통신장비 제조업,I,20221104,,
15,4128105488,20211228,(주)송림정***,김**,031 435 1551,062 529 8203,14976,경기도 시흥시 하중로,"217, 2층 201호 (하중동,대명빌딩)",일반,중소기업,일반기업,42320,통신 공사업,I,20221104,,
16,2268101938,20211228,(주)**,이**,033 241 8596,033 452 9847,24211,강원도 춘천시 동면 가산로,"10, 202 (감정리)",일반,중소기업,일반기업,42310,전기 공사업,I,20221104,,
17,4168106992,20211228,(주)대한산***,오**,061-751-6955,061-752-6955,,,,일반,중소기업,일반기업,42204,소방시설 공사업,I,20221104,,
18,3128107646,20211228,(주)창***,강**,041 531 5126,041 5315128,31419,충청남도 아산시 음봉면 음봉로 805,(산동리),일반,중소기업,일반기업,42200,건물설비 설치 공사업,I,20221104,,
19,1028100591,20211228,(주)***,김**,02  721 7400,02  721 7499,04554,서울 중구 퇴계로 173,"12층 (충무로3가,남산스퀘어빌딩)",외감,중소기업,일반기업,63910,뉴스 제공업,I,20221104,,
20,5018101961,20211228,(주)**,장**,053 765 1687,053 765 1129,41042,대구 동구 방천로1길 67-1,(불로동),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
21,5042805514,20211228,정우**,임**,053-287-2388,070-4700-5447,39860,경북 칠곡군 동명면 백송로,786-11 (송산리),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
22,5028103505,20211228,(주)우주***,우**,053 983 7000,053 751 0000,41169,대구광역시 동구 아양로 248,"5층 (효목동,문영빌딩)",일반,중소기업,일반기업,42320,통신 공사업,I,20221104,,
23,6108108265,20211228,(주)엘씨***,박**,052 267 8000,052 267 8002,44695,울산 남구 돋질로 186,3층 (달동),일반,중소기업,일반기업,47312,통신기기 소매업,I,20221104,,
24,1100109326,20211228,씨*,오**,,,04183,서울 마포구 효창원로,"253, 2층 (공덕동)",일반,중소기업,일반기업,14199,그 외 기타 봉제의복 제조업,I,20221104,,
25,5668103440,20211228,스마트한***,강**, 031 2169492,031-216-9493,16226,경기 수원시 영통구 대학4로,"17, 419호 (이의동,에이스광교타워1)",일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
26,1988703642,20211228,(주)파란***,허*, 042 6250904,050-7092-7275,34380,대전광역시 대덕구 동심1길,"9, 1층 (오정동)",일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
27,1208703919,20211228,라온화이트햇***,이**,070-8240-3621,02-561-5343,06132,서울 강남구 테헤란로 145,13층 (역삼동),일반,중소기업,일반기업,63999,그 외 기타 정보 서비스업,I,20221104,,
28,2298101079,20211228,(주)미래로***,두**,031-215-2905,031-216-2905,16950,경기 용인시 기흥구 흥덕중앙로 120,"204호 (영덕동,UTOWER)",외감,중소기업,일반기업,58200,소프트웨어 개발 및 공급업,I,20221104,,
29,5028107191,20211228,(주)에이***,정**,053 964 6222,053 964 6225,40115,경상북도 고령군 성산면 성암로,160-12 (박곡리),일반,중소기업,일반기업,41110,주거용 건물 건설업,I,20221104,,
30,6218605206,20211228,(주)아성엔지***,박**,051-556-5119,051 5833119,46216,부산광역시 금정구 중앙대로 2020,"1층 (남산동,효산벨루스)",일반,중소기업,일반기업,42133,조적 및 석공사업,I,20221104,,
31,6178102519,20211228,(주)아성***,김**,051 636 5585,051 645 3440,46708,부산 강서구 죽동길405번길,24-19 (죽동동),일반,중소기업,일반기업,42320,통신 공사업,I,20221104,,
32,3058109484,20211228,(자)보***,박**,042-284-4636,042-284-2784,34681,대전 동구 신기로 157,(가오동),일반,중소기업,일반기업,42310,전기 공사업,I,20221104,,
33,3148108537,20211228,(주)태림조***,우**,042 472 1904,042-472-1904,34165,대전광역시 유성구 유성대로,"795-1, 501호 (장대동,포스빌딩)",일반,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
34,8798109317,20211228,(주)태***,김**,02-6959-7180,02-6231-8545,10071,경기 김포시 김포한강9로75번길 142,"201호 (구래동,태림더끌리움1차)",일반,중소기업,일반기업,41110,주거용 건물 건설업,I,20221104,,
35,1238600596,20211228,(주)넥***,윤**,031 3816602,031 3816603,14056,경기도 안양시 동안구 학의로 282,"B동 6층 619호 (관양동,금강펜테리움아이티타워)",일반,중소기업,일반기업,46522,통신·방송장비 및 부품 도매업,I,20221104,,
36,8398709840,20211228,(주)***,김**,063-956-2846,063-465-6846,54528,전라북도 익산시 삼기면 삼기농공단지길 6-30,(기산리),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
37,1054207368,20211228,한진**,이**,02  375 5073,,,,,일반,중소기업,일반기업,,,I,20221104,,
38,8038704279,20211228,(주)한길커***,양**,062 9420071,062-942-0072,62416,광주광역시 광산구 평동로803번길,49 (옥동),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
39,6668609711,20211228,(주)에이치***,박**,,,16009,경기도 의왕시 양지편2로 11,"201호 (청계동,지엘빌딩)",신설,중소기업,일반기업,58222,응용 소프트웨어 개발 및 공급업,I,20221104,,
40,4018104579,20211228,(유)**,최**,063 561 1228,063 241 3426,55928,전라북도 임실군 임실읍 중동로 38,2층 3호 (이도리),일반,중소기업,일반기업,41210,지반 조성 건설업,I,20221104,,
41,1208708603,20211228,(주)브레인***,윤신근외***, 07046968479,07040323771,06160,서울특별시 강남구 테헤란로 415,"307호 (삼성동,주식회사 호텔롯데엘7강남)",일반,중소기업,일반기업,63991,데이터베이스 및 온라인정보 제공업,I,20221104,,
42,5618606228,20211228,(주)아***,장**,02-302-8083,02-302-9083,03925,서울 마포구 월드컵북로 402,"1013호 (상암동,케이지아이티센터)",일반,중소기업,일반기업,59114,방송 프로그램 제작업,I,20221104,,
43,4048104521,20211228,(유)삼광종***,이**,063 538 8201,063 538 8203,56173,전북 정읍시 수성6로 51-4,목우촌 (수성동),일반,중소기업,일반기업,41220,토목시설물 건설업,I,20221104,,
44,5338102758,20211228,(주)에이스네***,최**, 033 2697089,033 2621571,24465,강원도 춘천시 남산면 보매기길 74,가동 1층 (창촌리),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
45,7438802250,20211228,(주)브레인솔***,이**,053 2190421,053 2190422,41453,대구광역시 북구 영송로,"15 (태전동,대구보건대학교 산학협력단 창업보업센터 복지관 6302호)",일반,중소기업,일반기업,28909,그 외 기타 전기장비 제조업,I,20221104,,
46,1098108519,20211228,에이스건설***,권**,02  63096000,02  63096004,07299,서울 영등포구 경인로 775,"2동 401호 (문래동3가,에이스하이테크시티)",외감,중견기업,일반기업,41121,사무·상업용 및 공공기관용 건물 건설업,I,20221104,,
47,4138701482,20211228,(주)정***,정**,02-2672-5660,02-2672-5661,31411,충청남도 아산시 둔포면 산전길55번길 54,(산전리),일반,중소기업,일반기업,42492,건물용 금속 공작물 설치 공사업,I,20221104,,
48,3198701794,20211228,(주)광명정***,강**, 054 8523113,054-853-4114,36626,경북 안동시 석수1길 5,(안기동),일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
49,1748804288,20211228,(주)노***,이**,02  21383012,02-2138-3012,08501,서울 금천구 가산디지털1로 233,"714호 (가산동,에이스하이엔드타워9차)",일반,중소기업,일반기업,26410,유선 통신장비 제조업,I,20221104,,
50,1051000288,20211228,미래**,박**,,02-930-7443,03980,서울 마포구 동교로51안길,7,일반,중소기업,일반기업,,,I,20221104,,
51,6408803786,20211228,(주)원케이블***,박상은외***,053 4216000,0312467204,18271,경기도 화성시 남양읍 남양로 695,"403호 (남양리,화성벤처타운)",외감,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
52,1088603639,20211228,(주)라온***,장**,02-525-5583,02 5255584,08376,서울특별시 구로구 디지털로33길,"55 (구로동,이엔씨드림벤처타워 2차 1204-8)",일반,중소기업,일반기업,63991,데이터베이스 및 온라인정보 제공업,I,20221104,,
53,2118800752,20211228,(주)라온***,김**,02-545-7075,02-545-7073,06028,서울특별시 강남구 가로수길 55,"4층 (신사동,부강빌딩)",일반,중소기업,일반기업,58221,시스템 소프트웨어 개발 및 공급업,I,20221104,,
54,2613809224,20211228,라*,김**,,,08805,서울 관악구 남현2길,"24-4, 302호 (남현동)",폐업,중소기업,일반기업,47312,통신기기 소매업,I,20221104,,
55,2218106049,20211228,(주)***,박**,033-435-0998,033-261-6503,,강원 홍천군 홍천읍 큰골길,26 (갈마곡리),일반,중소기업,일반기업,42411,도장 공사업,I,20221104,,
56,4098101844,20211228,에이원***,손**,062 526 2422,062 526 2423,57004,전라남도 영광군 홍농읍 상하길,66 (상하리),일반,중소기업,일반기업,42492,건물용 금속 공작물 설치 공사업,I,20221104,,
57,2488701887,20211228,(주)제이***,이**,031 488 9523,031 488 9525,15115,경기도 시흥시 마유로10번길 117,(정왕동),일반,중소기업,일반기업,26410,유선 통신장비 제조업,I,20221104,,
58,6838109533,20211228,(주)제이***,김**,0549721479,,39866,경상북도 칠곡군 지천면 금송로,"60, 402호 영진전문대학교 글로벌캠퍼스 토탈테크노센터 (송정리)",일반,중소기업,일반기업,42321,일반 통신 공사업,I,20221104,,
59,1238106376,20211228,(주)태림***,조**,031-424-3011,031-424-3044,16006,경기 의왕시 이미로 40,"D동 810-1호 (포일동,인덕원IT밸리)",일반,중소기업,일반기업,42139,기타 옥외 시설물 축조관련 전문공사업,I,20221104,,
