사업자등록번호,데이터수집일자,기업코드,기업명,업종,업종명,기업규모,기업규모명,CRI등급,CRI기준일,결산일자,CRI등급설명,CRI등급명세,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1010100001,20220519,2898316,드****,M,,2,중소기업,B1,20220515,20191231,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1010100001,20220519,2898316,드****,M,,2,중소기업,B1,20220515,20191231,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1010100001,20220107,2898316,드****,M,,2,중소기업,B2,20211231,20191231,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",양호,I,20221104,,
1010100001,,,,,,,,,,,,,I,20221104,,
1010200002,20220519,2059915,씨****,M,,2,중소기업,B3,20220515,20201231,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준",양호,I,20221104,,
1010200002,20220519,2059915,씨****,M,,2,중소기업,B3,20220515,20201231,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준",양호,I,20221104,,
1010200002,20220107,2059915,씨****,M,,2,중소기업,B3,20211231,20201231,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준",양호,I,20221104,,
1010200002,,,,,,,,,,,,,I,20221104,,
1010600003,,,,,,,,,,,,,I,20221104,,
1010600004,20220519,5949807,큐****,M,,2,중소기업,C3,20220515,20191231,채무불이행 발생 가능성이 높아 향후 회복가능성이 낮고 적기 상환능력이 의심되는 수준으로 현금거래가 요망되는 위험 수준,위험,I,20221104,,
1010600004,20220519,5949807,큐****,M,,2,중소기업,C3,20220515,20191231,채무불이행 발생 가능성이 높아 향후 회복가능성이 낮고 적기 상환능력이 의심되는 수준으로 현금거래가 요망되는 위험 수준,위험,I,20221104,,
1010600004,20220107,5949807,큐****,M,,2,중소기업,C3,20211231,20191231,채무불이행 발생 가능성이 높아 향후 회복가능성이 낮고 적기 상환능력이 의심되는 수준으로 현금거래가 요망되는 위험 수준,위험,I,20221104,,
1010600004,,,,,,,,,,,,,I,20221104,,
1010700005,20220224,2811284,해****,M,,2,중소기업,C2,20220215,20201231,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준",보통,I,20221104,,
1010700005,20220107,2811284,해****,M,,2,중소기업,B3,20211231,20191231,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준",양호,I,20221104,,
1010700005,,,,,,,,,,,,,I,20221104,,
1011100006,20220224,5971958,아****,M,,2,중소기업,D,20211013,20201231,지급불능 상태의 매우 취약한 신용능력을 나타내어 적기 상환능력이 전무한 수준,위험,I,20221104,,
1011100006,20220107,5971958,아****,M,,2,중소기업,D,20211013,20201231,지급불능 상태의 매우 취약한 신용능력을 나타내어 적기 상환능력이 전무한 수준,위험,I,20221104,,
1011100006,,,,,,,,,,,,,I,20221104,,
1014000007,,,,,,,,,,,,,I,20221104,,
1018100008,20221022,1560619,메****,,도매 및 소매업,,중소기업,C1,20220719,,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준",,I,20221104,,
1018100008,20220225,1560619,메*****,M,,2,중소기업,A2,20220215,20201231,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",우수,I,20221104,,
1018100008,20220107,1560619,메*****,M,,2,중소기업,A2,20211231,20201231,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",우수,I,20221104,,
1018100008,,,,,,,,,,,,,I,20221104,,
1018100009,20221022,1938290,에****,,건 설 업,,대기업,A2,20220719,,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",,I,20221104,,
1018100009,,,,,,,,,,,,,I,20221104,,
1018100010,20221022,1937629,세****,,건 설 업,,중소기업,B2,20220719,,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준",,I,20221104,,
1018100010,,,,,,,,,,,,,I,20221104,,
1018100011,20221022,1291215,교****,,정보통신업,,중견기업,A3,20220719,,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준",,I,20221104,,
1018100011,,,,,,,,,,,,,I,20221104,,
1018100012,20221022,1773183,아****,,정보통신업,,중소기업,A2,20220719,,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",,I,20221104,,
1018100012,,,,,,,,,,,,,I,20221104,,
1018100013,20221022,6833493,아****,,정보통신업,,중소기업,C2,20220719,,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준",,I,20221104,,
1018100013,,,,,,,,,,,,,I,20221104,,
1018100014,20221022,1849247,넥****,,건 설 업,,중소기업,B3,20220719,,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준",,I,20221104,,
1018100014,,,,,,,,,,,,,I,20221104,,
1018100015,20221022,1277343,디****,,도매 및 소매업,,중소기업,B1,20220719,,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",,I,20221104,,
1018100015,,,,,,,,,,,,,I,20221104,,
1018100016,20221022,1644749,마****,,정보통신업,,중소기업,B1,20220719,,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",,I,20221104,,
1018100016,,,,,,,,,,,,,I,20221104,,
1018100017,20221022,1399633,텔****,,정보통신업,,중소기업,C1,20220719,,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준",,I,20221104,,
1018100017,,,,,,,,,,,,,I,20221104,,
1018100018,20221022,1509002,석****,,건 설 업,,중소기업,C2,20220719,,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준",,I,20221104,,
1018100018,,,,,,,,,,,,,I,20221104,,
1018100019,20221022,1126870,이****,,정보통신업,,중소기업,B1,20220719,,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",,I,20221104,,
1018100019,,,,,,,,,,,,,I,20221104,,
1018100020,20221022,1777018,페****,,운수 및 창고업,,중소기업,B1,20220719,,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",,I,20221104,,
1018100020,20220225,1777018,페****,M,,2,중소기업,B1,20220215,20210531,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1018100020,20220107,1777018,페****,M,,2,중소기업,B1,20211231,20210531,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준",양호,I,20221104,,
1018100020,,,,,,,,,,,,,I,20221104,,
1018100021,20221022,1180344,머****,,정보통신업,,중견기업,A3,20220719,,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준",,I,20221104,,
1018100021,,,,,,,,,,,,,I,20221104,,
1018100022,20221022,1548479,아****,,건 설 업,,중소기업,A3,20220719,,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준",,I,20221104,,
1018100022,,,,,,,,,,,,,I,20221104,,
1018100023,20221022,2146285,에****,,도매 및 소매업,,중소기업,A2,20220719,,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",,I,20221104,,
1018100023,20220225,2146285,에****,M,,2,중소기업,A2,20220215,20210630,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",우수,I,20221104,,
1018100023,20220107,2146285,에****,M,,2,중소기업,A2,20211231,20210630,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준",우수,I,20221104,,
1018100023,,,,,,,,,,,,,I,20221104,,
1018100024,20221022,1779746,아****,,"사업시설 관리, 사업 지원 및 임대 서비스업",,중소기업,C2,20220719,,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준",,I,20221104,,
