"BIZ_NO","COMPANY_NAME","CEO_NAME","IND_CD","IND_NAME","FOUNDATION_DATE","BUSINESS_YEARS","ADDRESS"
"1228151166",부창,공익상,"58222",응용 소프트웨어 개발 및 공급업,"19731117",49,"인천광역시 남동구 인주대로614번길 2 604호 (구월동,금화오피스텔)"
"1348108473",더존비즈온,김용우,"58222",응용 소프트웨어 개발 및 공급업,"19770820",45,강원도 춘천시 남산면 버들1길 130 (수동리)
"1048408925",아토스인포메이션테크놀러지싱가포르피티이엘티디,렁치항미토응,"58222",응용 소프트웨어 개발 및 공급업,"19830311",39,"서울 종로구 삼봉로 94 9층 904호 (공평동,94빌딩)"
"2148110708",미래쏘프트웨어,이인덕,"58222",응용 소프트웨어 개발 및 공급업,"19840509",38,"서울 서초구 남부순환로337길 35 4층 (서초동,미래빌딩)"
"1148114438",키컴,윤성태,"58222",응용 소프트웨어 개발 및 공급업,"19840827",38,강원도 춘천시 남산면 버들1길 130 (수동리)
"2208129726",비트컴퓨터,전진옥외 1명,"58222",응용 소프트웨어 개발 및 공급업,"19850425",37,"서울특별시 서초구 서초대로74길 33 (서초동,비트빌)"
"1028132001",지엑스에스,고든앨런데이비스,"58222",응용 소프트웨어 개발 및 공급업,"19860224",36,"서울특별시 종로구 종로1길 42, 8층 (수송동,이마빌딩)"
"5148118385",지노시스템,이을구외 1명,"58222",응용 소프트웨어 개발 및 공급업,"19871201",35,"서울특별시 영등포구 선유로 70 1207호 (문래동3가,우리벤처2빌딩)"
"1018123659",매트릭스투비,장세열,"58222",응용 소프트웨어 개발 및 공급업,"19870425",35,"서울특별시 구로구 디지털로34길 27 810호 (구로동,대륭포스트타워3차)"
"1388105293",윈코커뮤니케이션,조희동,"58222",응용 소프트웨어 개발 및 공급업,"19891218",33,"서울특별시 관악구 승방길 14 101호 (남현동,윈코오피스텔)"
"1208168297",지멘스인더스트리소프트웨어,오병준,"58222",응용 소프트웨어 개발 및 공급업,"19891113",33,서울 강남구 언주로30길 39 16층 (도곡동)
"1028142299",레디코리아,앤드류카트리지,"58222",응용 소프트웨어 개발 및 공급업,"19891101",33,서울 서초구 동광로 41 (방배동)
"2298111674",맨텍,김윤원외 1명,"58222",응용 소프트웨어 개발 및 공급업,"19890927",33,"서울특별시 성동구 성수일로4길 25 12층 (성수동2가,서울숲코오롱디지털타워)"
