"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","ADDRESS"
"1028120368",한국화장품제조,이용준,"19620321",서울 종로구 청계천로 35 (서린동)
"1388103204",제이준코스메틱,양재원,"19720630",인천광역시 남동구 남동대로 405 (남촌동)
"1248108836",한미화학,김순자,"19780426",경기도 용인시 기흥구 중부대로 14-6 (영덕동)
"2088110042",시크리티스,유복순,"19781214",경기도 평택시 진위면 동부대로 4-18 (견산리)
"1348500993",보령메디앙스,박수찬,"19790428",충남 예산군 응봉면 충서로 264 (증곡리)
"2088103973",메디앙스,박수찬,"19791120",서울특별시 강남구 논현로64길 4 (역삼동)
"2248503857",참존원주공장,염동진,"19810801",강원도 원주시 태장공단길 58 (태장동)
"1068117147",한국존슨앤드존슨,백준혁,"19830628",서울 용산구 한강대로 92 (한강로2가)
"1228119735",미라화장품,이병호,"19830817",인천광역시 계양구 안남로489번길 10 (효성동)
"1228115383",일진코스메틱,유동진외 1명,"19831230","경기 시흥시 공단1대로 86 401호 (정왕동,시화산업단지1다)"
"1358105033",에뛰드,이창규,"19850701",서울 용산구 한강대로 100 (한강로2가)
"1248133674",비오에스비앤에이치,김성철,"19851211",충청남도 아산시 순천향로 560 (신인동)
"1078523034",웰코스서울사무소,김영돈외  1명,"19861010","서울특별시 영등포구 국제금융로 70, 1302호 (여의도동,미원빌딩)"
"1208107761",참존,염동진,"19860509",서울특별시 강남구 영동대로 318 (대치동)
"1348112735",리더스코스메틱,김진구외 1명,"19861224","서울 광진구 능동로 90 C동 404호 (자양동,더클래식500)"
"1308119094",로쎄앙,이팔화,"19870608",경기도 부천시 신흥로470번길 97 (오정동)
"1228117440",리베코스,유희창,"19870411",충남 천안시 서북구 성거읍 남산3길 58-68 (정촌리)
"3128107545",코리아나화장품,유학수,"19881115",충청남도 천안시 서북구 성거읍 삼곡2길 6 (정촌리)
"1338129946",보미화장품,조영자,"19881210",경기도 시흥시 옥구천서로81번길 59 (정왕동)
"3128508504",금비화장품온양공장,고기영외  1명,"19890624",충청남도 아산시 실옥로 156 (실옥동)
"1138116786",정한약품,정남선외 1명,"19890614","서울특별시 영등포구 국회대로 800 635호 (여의도동,여의도파라곤)"
"2068147219",씨에스에이코스믹,조성아,"19891107",서울특별시 강남구 학동로30길 20 (논현동)
