"BIZ_NO","COMPANY_NAME","CEO_NAME","FOUNDATION_DATE","ADDRESS"
"1358111122",아모스프로페셔널,박대훈,"19760124",서울특별시 용산구 한강대로 100 (한강로2가)
"2118194636",르벨코리아,차준민,"19811127","서울특별시 송파구 석촌호수로 298, 206호 (송파동,잠실대우레이크월드)"
"2148131983",한국케스퍼,이지훈,"19840831","경기도 성남시 중원구 둔촌대로 484 610호 (상대원동,씨콕스타워)"
"1308114084",더봄,서덕원,"19850627",서울특별시 강남구 봉은사로 114 (역삼동)
"1208156675",뉴스킨코리아,조지훈,"19850825",서울특별시 강남구 봉은사로86길 6 (삼성동)
"2028117334",닥터스라보러토리스,박용수,"19880524","서울 강북구 도봉로 328 1910호 (번동,가든타워)"
"1068121637",프로랑스화장품,이종경,"19890701",서울특별시 용산구 효창원로66길 6 (효창동)
"2198120991",금비비앤피,고기영,"19890801",서울특별시 송파구 도곡로 464 (잠실동)
"1208117099",꾸오레화장품,기노시다에이지,"19901215",서울특별시 강남구 논현로157길 30 (신사동)
"2118171818",한실흥산,이상빈,"19901105",경기도 김포시 고촌읍 아라육로 36 (전호리)
"1208105439",정동코스메틱,정덕현,"19900927",서울 강남구 도산대로90길 12 (청담동)
"2158193906",욱성물산,하주영,"19900402","경기도 성남시 중원구 둔촌대로 388 11층 1107호 (상대원동,크란츠테크노)"
"1028126377",부루벨코리아,다니엘메이란,"19900309",서울특별시 강남구 선릉로 801 (신사동)
"1048128347",화진화장품,강정희,"19910920","서울특별시 영등포구 당산로 246 9층 (당산동6가,뷰티풀타워)"
"1058150328",일진화장품,유승우,"19911201","서울특별시 마포구 서강로20길 25 (노고산동,오복빌딩)"
"2118198516",밀라코리아,이태희,"19910514","서울특별시 강남구 도산대로26길 53 6층 (논현동,티엠빌딩)"
"2198105189",훼밀리프로덕스,원덕수,"19911114","서울 송파구 충민로 52 B동 3층 303호 (문정동,가든파이브웍스)"
"1308401580",가와사키유통,김종명,"19910719","서울 서초구 반포대로30길 66 8층 (서초동,성도빌딩)"
"2158146169",한국쉬즈라인,최용국,"19920702","서울특별시 송파구 오금로46길 19-1 501호 (가락동,주은빌딩)"
"3068122430",유니레버코리아,아심푸리,"19920229",서울 강남구 테헤란로 443 (삼성동)
"1078138956",동경상사,손영채,"19920720","서울특별시 마포구 월드컵북로12길 20 4층 (성산동,보영빌딩)"
"1028403171",맨소래덤아시아퍼시픽,임현정,"19920701","서울특별시 강남구 언주로 337, 7층 (역삼동,동영문화센터빌딩)"
"2118186441",그린피아코스메틱,김기원,"19921101","서울특별시 송파구 도곡로 458 (잠실동,연두빌딩)"
"1058172152",오네스,이삼형,"19930601","서울특별시 영등포구 은행로 29 10층 2호, 3호 (여의도동,정우빌딩)"
"2208173483",엘오케이,사무엘티보부티에뒤리테일,"19930629","서울 강남구 영동대로 517 31층 (삼성동,무역센터아셈타워)"
"2298108261",하나월드,이영란,"19931101",서울특별시 서초구 강남대로6길 11 (양재동)
"2118190343",조앤리,이태희,"19931014",경기도 이천시 어재연로 46 5층 (창전동)
"1148152408",새한뷰티마트,채승호,"19930504","서울 서초구 방배로 98 2층 (방배동,주노피스빌딩)"
"1058167187",비비씨,김호빈,"19930322",서울특별시 용산구 유엔빌리지길 72 (한남동)
"6068147966",한포드무역,이윤진,"19930501","서울 강남구 언주로108길 8, 3층 (역삼동)"
"2148164219",엘브이엠에치코스메틱스,니꼴라페르난드자크스베르나르부이시에르외,"19940106",서울 종로구 종로3길 17 (청진동)
"2118601660",르본,신용식,"19940404","서울특별시 강남구 테헤란로 313 812호 (역삼동,성지하이츠1차)"
"2148167045",애리조,조윤호,"19940321",서울 서초구 본마을1길 8 1층 (신원동)
"1208135160",프레스티지코스메틱코리아,김신영,"19940105","서울특별시 강남구 테헤란로 507 10층 100호 (삼성동,WeWork빌딩)"
"4088121585",제이와이씨,신철구,"19941215","전라남도 화순군 화순읍 충의로 101 (광덕리,농협하나로마트혼수센타)"
"2198116269",맨담코리아,호리히로토,"19940910","서울 강남구 테헤란로 110 10층 (역삼동,캠브리지강남빌딩)"
"2148166293",애니통상,한은희,"19940107","서울 서초구 서초대로55길 3 6층 (서초동,애니빌딩)"
"6178115426",유어즈코퍼레이션,오수정,"19941001","부산 해운대구 센텀중앙로 145 113동 403호 (재송동,더?센텀파크1차)"
"2118638662",씨이오인터내셔널,김유성,"19950703","서울 강남구 논현로163길 14 4층 (신사동,청원빌딩)"
"2208190328",비앤에프인터내셔날,이병모,"19950214","경기도 성남시 분당구 황새울로 234 1034호 (수내동,트라팰리스)"
"1028137699",클라랑스코리아,박클리포드치욱,"19950513","서울 강남구 도산대로45길 8-1 3층,4층 (신사동)"
"1148172608",대화씨앤에프,김상근,"19950228","서울 영등포구 도신로60길 2 8,9층 (신길동,미주메디컬빌딩)"
"2148607571",하이리빙,김종관,"19960628","서울특별시 중구 소공로 116 14층 (소공동,서울센터빌딩)"
"1208168211",코익,김지은,"19961201","서울 서초구 강남대로 557 8층 (잠원동,성한빌딩)"
"1208163711",화천,계세찬,"19960801","서울특별시 관악구 성현로 80 144동 1404호 (봉천동,관악드림타운)"
"1508182664",정화유통,정일화,"19961010",서울 마포구 독막로 148
"1168162784",비에스케이코퍼레이션,박종호,"19961231","서울 강남구 학동로 401 13층 (청담동,금하빌딩)"
"1148168666",포렐,문유식,"19960103","서울특별시 서초구 사평대로16길 10-5 (반포동,포렐빌딩)"
"1128142506",희성앤에이치,김병희,"19960515","서울 중구 퇴계로 120 10층 (남산동1가,희성남산빌딩)"
"2138631971",더베스트컴퍼니,김승재,"19970618","서울특별시 송파구 송파대로 260, 503호 (가락동,제일오피스텔)"
"2038123542",백암씨엔씨,주은하,"19970317","서울특별시 중구 퇴계로18길 33 307호 (남산동2가,엠플스페이스)"
"2158162780",씨앤씨엘티디,이의종,"19970417","서울 강동구 올림픽로 660 610호 (천호동,천호엘크루주상복합)"
"1208173335",아트피아,유학수,"19970501","경기도 수원시 영통구 센트럴타운로 114-4 (이의동,코리아나화장품빌딩)"
"2148618613",보림유니버살,윤수영외 1명,"19970918","경기도 성남시 분당구 황새울로360번길 19 9층 902호 (서현동,금화빌딩)"
"1208175328",한국시세이도,황학상,"19970729","서울특별시 강남구 테헤란로108길 42 3층 (대치동,엠디엠타워)"
"2298125751",포렌코즈,정춘희,"19970117","경기도 성남시 분당구 판교로 186 2층 (판교동,포렌코즈빌딩)"
"1178118544",링클사이언스,강문준,"19970116","인천광역시 연수구 먼우금로 189 302호 (청학동,소망빌딩)"
"1068129643",샤넬코리아,스테판티에리피에르블랑샤르,"19971027","서울특별시 중구 세종대로9길 41 11층 (서소문동,퍼시픽타워)"
"2208147194",바이어스도르프코리아,베라디쥬제페,"19970828","서울특별시 영등포구 국제금융로 10 17층 (여의도동,투아이에프씨동)"
"6218130649",진도그린,김진성,"19980611",경남 양산시 동면 곡리1길 9 (석산리)
"2208150699",흰달,권동혁,"19980303",서울특별시 강남구 선릉로130길 57 (삼성동)
"2118628956",루미가넷네일스파,문유선,"19980501","서울 강남구 역삼로 432 401호 (대치동,쌔씨존)"
"2198127183",에스제이월드,이성운,"19980928","서울 강동구 강동대로 155 4층 403호 (성내동,현대제이드빌딩)"
"1098153744",다인케이앤에프컴퍼니,황태환,"19980401","경기 용인시 기흥구 중부대로 184 B동 107-2호 (영덕동,힉스유타워)"
"2208167735",케이에스케이유나이티드아로마코리아,김석규,"19991001",경기 성남시 수정구 탄천로307번길 5 (사송동)
"1098159919",성진코스메틱스,김성신,"19991022","서울특별시 영등포구 양산로 43 907호 (양평동3가,우림이-비즈센터)"
"1208188838",에버아트,홍정연,"19990428","서울 강남구 언주로30길 13 2708호 (도곡동,대림아크로빌)"
"6808801536",보신지케이,이중락,"19990727","서울 강남구 영동대로 602 6층 (삼성동,삼성동미켈란)"
"6028115424",피부나라,김경오,"19991018","부산광역시 부산진구 전포대로171번길 12 C동 701호 (전포동,서면세종그랑시아)"
"2148633536",케이엔유,박희원,"19990608","서울특별시 강남구 영동대로86길 12 2층 (대치동,동남유화빌딩)"
"2148631028",유알지,전희형,"19990329","서울 강남구 헌릉로569길 21-36 (세곡동,유알지빌딩)"
"2148637639",더말프로,안동석외 1명,"19990909","서울특별시 강남구 언주로 817 6층 (신사동,신사빌딩)"
"4098147991",필코스메틱,김양순,"19990609",광주광역시 북구 양산로 79 (양산동)
"1238151698",코스파인,김홍섭,"19991018",경기 군포시 당정로60번길 5 (당정동)
"2118654736",아이디얼뷰티,송석우,"19990724","서울특별시 강동구 상암로 11 116동 101호 (암사동,선사현대아파트)"
