사업자등록번호,순번,데이터수집일자,언론사명,기사날짜,기사제목,기사내용,기자명,URL링크,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1010100001,1,20220324,한국경제,20200123,금주(1월 17일~23일)의 신설법인 1231개,,,,I,20221104,,
1010100001,2,,,,,,,,I,20221104,,
1010200002,1,20220324,,,,,,,I,20221104,,
1010200002,2,,,,,,,,I,20221104,,
1010600003,1,20220324,톱스타뉴스,20220205,"[트위터 리트윗종합순위] 방탄소년단 지민 73회째 1위, 2위 임영웅에 1,122회 앞서…3위 방탄소년단 뷔·4위 방탄소년단 정국·5위 레드벨벳 슬기",,,,I,20221104,,
1010600003,2,,,,,,,,I,20221104,,
1010600004,1,20220324,,,,,,,I,20221104,,
1010600004,2,,,,,,,,I,20221104,,
1010700005,1,20220321,,,,,,,I,20221104,,
1010700005,2,,,,,,,,I,20221104,,
1011100006,1,20220324,,,,,,,I,20221104,,
1011100006,2,,,,,,,,I,20221104,,
1014000007,1,20220324,,,,,,,I,20221104,,
1014000007,2,,,,,,,,I,20221104,,
1018100008,1,20220321,,,,,,,I,20221104,,
1018100008,2,,,,,,,,I,20221104,,
1018100009,1,20220324,아이뉴스24,20210106,SK건설 안재현표 ESG…새 옷 입고 신축년 '비상',,,,I,20221104,,
1018100009,2,,,,,,,,I,20221104,,
1018100010,1,20220321,,,,,,,I,20221104,,
1018100010,2,,,,,,,,I,20221104,,
1018100011,1,20220324,뉴스웨이,20210616,‘교원 2세’ 여행·호텔 사업 몸집 불리기 속도…경영능력 시험대,,,,I,20221104,,
1018100011,2,,,,,,,,I,20221104,,
1018100012,1,20220321,,,,,,,I,20221104,,
1018100012,2,,,,,,,,I,20221104,,
1018100013,1,20220324,뉴스퀘스트,20210714,"中企 주52시간 근태 관리, '얼마에요'로 간편하게 해결하세요",,,,I,20221104,,
1018100013,2,,,,,,,,I,20221104,,
1018100014,1,20220321,,,,,,,I,20221104,,
1018100014,2,,,,,,,,I,20221104,,
1018100015,1,20220321,,,,,,,I,20221104,,
1018100015,2,,,,,,,,I,20221104,,
1018100016,1,20220321,,,,,,,I,20221104,,
1018100016,2,,,,,,,,I,20221104,,
1018100017,1,,,,,,,,I,20221104,,
1018100018,1,,,,,,,,I,20221104,,
1018100019,1,20220321,,,,,,,I,20221104,,
1018100019,2,,,,,,,,I,20221104,,
1018100020,1,,,,,,,,I,20221104,,
1018100021,1,20220324,머니투데이,20211201,2021 대한민국 소비자만족지수 1위 시상식 개최,,,,I,20221104,,
1018100021,2,,,,,,,,I,20221104,,
1018100022,1,20220321,,,,,,,I,20221104,,
1018100022,2,,,,,,,,I,20221104,,
1018100023,1,20220321,,,,,,,I,20221104,,
1018100023,2,,,,,,,,I,20221104,,
1018100024,1,20220321,,,,,,,I,20221104,,
1018100024,2,,,,,,,,I,20221104,,
1018100025,1,20220321,,,,,,,I,20221104,,
1018100025,2,,,,,,,,I,20221104,,
1018100026,1,20220321,,,,,,,I,20221104,,
1018100026,2,,,,,,,,I,20221104,,
1018100027,1,20220321,,,,,,,I,20221104,,
1018100027,2,,,,,,,,I,20221104,,
1018100028,1,20220321,,,,,,,I,20221104,,
1018100028,2,,,,,,,,I,20221104,,
1018100029,1,20220324,데이터넷,20210601,"KINX, '클라우드허브' 2년 새 신규 고객 118% 증가",,,,I,20221104,,
1018100029,2,,,,,,,,I,20221104,,
1018100030,1,20220324,,,,,,,I,20221104,,
1018100030,2,,,,,,,,I,20221104,,
1018100031,1,20220321,,,,,,,I,20221104,,
1018100031,2,,,,,,,,I,20221104,,
1018100032,1,20220321,,,,,,,I,20221104,,
1018100032,2,,,,,,,,I,20221104,,
1018100033,1,20220324,,,,,,,I,20221104,,
1018100033,2,,,,,,,,I,20221104,,
1018100034,1,20220324,,,,,,,I,20221104,,
1018100034,2,,,,,,,,I,20221104,,
1018100035,1,20220324,,,,,,,I,20221104,,
1018100035,2,,,,,,,,I,20221104,,
1018100036,1,,,,,,,,I,20221104,,
1018100037,1,20220321,,,,,,,I,20221104,,
