,회사,날짜,직무,재직여부,별점,요약,장점,단점,경영진에게 바라는 점
0,엔씨소프트,2022. 11,디자인,전직원,4,"""개발자에게는 좋은 대우를 해주는 회사, 복지도 좋은 편""","능력좋은 동료들과 함께하며 전문성을 기르기 좋은곳.
복지는 덤으로, 누리지 않으면 후회할 곳임.","보고를 위한 야근이 생각보다 많고 보고라인이 많은편.
대기업답게 사람도 많아서 타팀이 무슨일을 하는지 서로 모를때가 많음.",신규사업에 대해서 좀 더 열린 마음으로 다양한 시도를 하게 해주었으면 좋겠음.
1,엔씨소프트,2022. 11,디자인,전직원,3,"""이말 한마디면 끝난다. 대기업이라 복지가 좋다.""",대기업이라 월급문제 기본적인 노동법관련된 이슈들은 신경안써도 되는 점이 좋다. 100%깔끔하게 처리해준다.,기업이 너무 수직적 구조이다. 게임 개발에 총력을 기울이기 보다는 개개인의 승진에 눈에 불을 켜고 다니는 회사인 것 같다.,게임 개발 회사가 게임제작 프로그램은 돈을 안쓰는 기분이다.
2,엔씨소프트,2022. 10,IT/인터넷,현직원,4,"""야근이 생각보다 꽤 자주 있고 많이 바쁘긴해도 결과적으로는 일과 삶이 균형을 이루는 느낌을 주는 회사로 안정적인 삶을 그려볼 수 있게 해주는것 같습니다""",구내식당 잘돼있어서 확실히 매일 뭐먹지 하는 걱정은 없는것 같습니다 그외에 누구나 아는 복지가 장점인데 특히 저는 사내 어린이집이 있어 정말 좋습니다,시즌에 따라 분위기가 안좋을때가 종종있죠 부바부 심한 느낌도 있고 그리고 차 없거나 지하철 이용하는 사람들은 출퇴근이 살짝 힘든것도 있어요 선진적인 기업문화를 꾸준히 연구하고 추구하는 느낌은 있고 나름 시도도 하나 느낌뿐이고 시도뿐이다 라는 생각도 들고..,최근 입사한 나이 어린 신입급들 중 전직장에서 직장내괴롭힘 사건에 주도적으로 개입한 분이 있다는 소문이 돌고 있더라구요 회사의 규모는 크더라도 사우 한분한분 세심하게 신경써주고 케어해주는 기업으로 발돋움했으면 합니다
3,엔씨소프트,2022. 10,IT/인터넷,전직원,3,"""적당한 복지 적당한 돈 좋지 않은 경영진을 경험할 수 있습니다""",게임 회사라 그런지 대체로 자유로운 분위기입니다. 연차 사용이나 유연근무재 이런건 좋습니다,"보고가 굉장히 많고, 그게 일이 됩니다. 경영진이 직원을 위해서 투자하는게 보이지 않습니다.",직원에게 신경을 많이 써주셔야 좋을 듯 합니다..
4,엔씨소프트,2022. 10,인사/총무,현직원,5,"""회사가 좋으며 전체적으로 지원을 잘 해주는 편임 특히 복지시설""",식대를 1.5만원을 주며 그 외 기타 복지시설 이용도에 대한 만족도가 높음,일하는 사람은 많이하고 안하는 사람은 많이 하지 않는다는 평이 많습니다,사우들의 불만을 들어주고 해소해주는 경영진이 되었으면 합니다
5,엔씨소프트,2022. 11,디자인,전직원,4,"""개발자에게는 좋은 대우를 해주는 회사, 복지도 좋은 편""","능력좋은 동료들과 함께하며 전문성을 기르기 좋은곳.
복지는 덤으로, 누리지 않으면 후회할 곳임.","보고를 위한 야근이 생각보다 많고 보고라인이 많은편.
대기업답게 사람도 많아서 타팀이 무슨일을 하는지 서로 모를때가 많음.",신규사업에 대해서 좀 더 열린 마음으로 다양한 시도를 하게 해주었으면 좋겠음.
6,엔씨소프트,2022. 11,디자인,전직원,3,"""이말 한마디면 끝난다. 대기업이라 복지가 좋다.""",대기업이라 월급문제 기본적인 노동법관련된 이슈들은 신경안써도 되는 점이 좋다. 100%깔끔하게 처리해준다.,기업이 너무 수직적 구조이다. 게임 개발에 총력을 기울이기 보다는 개개인의 승진에 눈에 불을 켜고 다니는 회사인 것 같다.,게임 개발 회사가 게임제작 프로그램은 돈을 안쓰는 기분이다.
7,엔씨소프트,2022. 10,IT/인터넷,현직원,4,"""야근이 생각보다 꽤 자주 있고 많이 바쁘긴해도 결과적으로는 일과 삶이 균형을 이루는 느낌을 주는 회사로 안정적인 삶을 그려볼 수 있게 해주는것 같습니다""",구내식당 잘돼있어서 확실히 매일 뭐먹지 하는 걱정은 없는것 같습니다 그외에 누구나 아는 복지가 장점인데 특히 저는 사내 어린이집이 있어 정말 좋습니다,시즌에 따라 분위기가 안좋을때가 종종있죠 부바부 심한 느낌도 있고 그리고 차 없거나 지하철 이용하는 사람들은 출퇴근이 살짝 힘든것도 있어요 선진적인 기업문화를 꾸준히 연구하고 추구하는 느낌은 있고 나름 시도도 하나 느낌뿐이고 시도뿐이다 라는 생각도 들고..,최근 입사한 나이 어린 신입급들 중 전직장에서 직장내괴롭힘 사건에 주도적으로 개입한 분이 있다는 소문이 돌고 있더라구요 회사의 규모는 크더라도 사우 한분한분 세심하게 신경써주고 케어해주는 기업으로 발돋움했으면 합니다
8,엔씨소프트,2022. 10,IT/인터넷,전직원,3,"""적당한 복지 적당한 돈 좋지 않은 경영진을 경험할 수 있습니다""",게임 회사라 그런지 대체로 자유로운 분위기입니다. 연차 사용이나 유연근무재 이런건 좋습니다,"보고가 굉장히 많고, 그게 일이 됩니다. 경영진이 직원을 위해서 투자하는게 보이지 않습니다.",직원에게 신경을 많이 써주셔야 좋을 듯 합니다..
9,엔씨소프트,2022. 10,인사/총무,현직원,5,"""회사가 좋으며 전체적으로 지원을 잘 해주는 편임 특히 복지시설""",식대를 1.5만원을 주며 그 외 기타 복지시설 이용도에 대한 만족도가 높음,일하는 사람은 많이하고 안하는 사람은 많이 하지 않는다는 평이 많습니다,사우들의 불만을 들어주고 해소해주는 경영진이 되었으면 합니다
10,엔씨소프트,2022. 11,디자인,전직원,4,"""개발자에게는 좋은 대우를 해주는 회사, 복지도 좋은 편""","능력좋은 동료들과 함께하며 전문성을 기르기 좋은곳.
복지는 덤으로, 누리지 않으면 후회할 곳임.","보고를 위한 야근이 생각보다 많고 보고라인이 많은편.
대기업답게 사람도 많아서 타팀이 무슨일을 하는지 서로 모를때가 많음.",신규사업에 대해서 좀 더 열린 마음으로 다양한 시도를 하게 해주었으면 좋겠음.
11,엔씨소프트,2022. 11,디자인,전직원,3,"""이말 한마디면 끝난다. 대기업이라 복지가 좋다.""",대기업이라 월급문제 기본적인 노동법관련된 이슈들은 신경안써도 되는 점이 좋다. 100%깔끔하게 처리해준다.,기업이 너무 수직적 구조이다. 게임 개발에 총력을 기울이기 보다는 개개인의 승진에 눈에 불을 켜고 다니는 회사인 것 같다.,게임 개발 회사가 게임제작 프로그램은 돈을 안쓰는 기분이다.
12,엔씨소프트,2022. 10,IT/인터넷,현직원,4,"""야근이 생각보다 꽤 자주 있고 많이 바쁘긴해도 결과적으로는 일과 삶이 균형을 이루는 느낌을 주는 회사로 안정적인 삶을 그려볼 수 있게 해주는것 같습니다""",구내식당 잘돼있어서 확실히 매일 뭐먹지 하는 걱정은 없는것 같습니다 그외에 누구나 아는 복지가 장점인데 특히 저는 사내 어린이집이 있어 정말 좋습니다,시즌에 따라 분위기가 안좋을때가 종종있죠 부바부 심한 느낌도 있고 그리고 차 없거나 지하철 이용하는 사람들은 출퇴근이 살짝 힘든것도 있어요 선진적인 기업문화를 꾸준히 연구하고 추구하는 느낌은 있고 나름 시도도 하나 느낌뿐이고 시도뿐이다 라는 생각도 들고..,최근 입사한 나이 어린 신입급들 중 전직장에서 직장내괴롭힘 사건에 주도적으로 개입한 분이 있다는 소문이 돌고 있더라구요 회사의 규모는 크더라도 사우 한분한분 세심하게 신경써주고 케어해주는 기업으로 발돋움했으면 합니다
13,엔씨소프트,2022. 10,IT/인터넷,전직원,3,"""적당한 복지 적당한 돈 좋지 않은 경영진을 경험할 수 있습니다""",게임 회사라 그런지 대체로 자유로운 분위기입니다. 연차 사용이나 유연근무재 이런건 좋습니다,"보고가 굉장히 많고, 그게 일이 됩니다. 경영진이 직원을 위해서 투자하는게 보이지 않습니다.",직원에게 신경을 많이 써주셔야 좋을 듯 합니다..
14,엔씨소프트,2022. 10,인사/총무,현직원,5,"""회사가 좋으며 전체적으로 지원을 잘 해주는 편임 특히 복지시설""",식대를 1.5만원을 주며 그 외 기타 복지시설 이용도에 대한 만족도가 높음,일하는 사람은 많이하고 안하는 사람은 많이 하지 않는다는 평이 많습니다,사우들의 불만을 들어주고 해소해주는 경영진이 되었으면 합니다
15,엔씨소프트,2022. 11,디자인,전직원,4,"""개발자에게는 좋은 대우를 해주는 회사, 복지도 좋은 편""","능력좋은 동료들과 함께하며 전문성을 기르기 좋은곳.
복지는 덤으로, 누리지 않으면 후회할 곳임.","보고를 위한 야근이 생각보다 많고 보고라인이 많은편.
대기업답게 사람도 많아서 타팀이 무슨일을 하는지 서로 모를때가 많음.",신규사업에 대해서 좀 더 열린 마음으로 다양한 시도를 하게 해주었으면 좋겠음.
16,엔씨소프트,2022. 11,디자인,전직원,3,"""이말 한마디면 끝난다. 대기업이라 복지가 좋다.""",대기업이라 월급문제 기본적인 노동법관련된 이슈들은 신경안써도 되는 점이 좋다. 100%깔끔하게 처리해준다.,기업이 너무 수직적 구조이다. 게임 개발에 총력을 기울이기 보다는 개개인의 승진에 눈에 불을 켜고 다니는 회사인 것 같다.,게임 개발 회사가 게임제작 프로그램은 돈을 안쓰는 기분이다.
17,엔씨소프트,2022. 10,IT/인터넷,현직원,4,"""야근이 생각보다 꽤 자주 있고 많이 바쁘긴해도 결과적으로는 일과 삶이 균형을 이루는 느낌을 주는 회사로 안정적인 삶을 그려볼 수 있게 해주는것 같습니다""",구내식당 잘돼있어서 확실히 매일 뭐먹지 하는 걱정은 없는것 같습니다 그외에 누구나 아는 복지가 장점인데 특히 저는 사내 어린이집이 있어 정말 좋습니다,시즌에 따라 분위기가 안좋을때가 종종있죠 부바부 심한 느낌도 있고 그리고 차 없거나 지하철 이용하는 사람들은 출퇴근이 살짝 힘든것도 있어요 선진적인 기업문화를 꾸준히 연구하고 추구하는 느낌은 있고 나름 시도도 하나 느낌뿐이고 시도뿐이다 라는 생각도 들고..,최근 입사한 나이 어린 신입급들 중 전직장에서 직장내괴롭힘 사건에 주도적으로 개입한 분이 있다는 소문이 돌고 있더라구요 회사의 규모는 크더라도 사우 한분한분 세심하게 신경써주고 케어해주는 기업으로 발돋움했으면 합니다
