사업자등록번호,순번,데이터수집일자,기업코드,경영진명,직위코드,직위명칭,담당업무명,등기상태,등기상태명,경영진영문명,우편번호,주소,상세주소,학력명세,주요경력사항,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1240400001,1,,,,,,,,,,,,,,,I,20221114,,
1242100002,1,,,,,,,,,,,,,,,I,20221114,,
1171400003,1,,,,,,,,,,,,,,,I,20221114,,
1212000004,1,,,,,,,,,,,,,,,I,20221114,,
1274000005,1,,,,,,,,,,,,,,,I,20221114,,
1058200006,1,20220222,2262579,정**,30,대표이사사장,,,,Cheong Hyeonsik,,,,,,I,20221114,,
5382500007,1,,,,,,,,,,,,,,,I,20221114,,
1198100008,1,,,,,,,,,,,,,,,I,20221114,,
1100200009,1,,,,,,,,,,,,,,,I,20221114,,
1388200010,1,20211129,1788098,권**,28,대표이사,대표이사 (경영총괄),,,KWON HO YEOL,,,,,정보통신정책연구원 ,I,20221114,,
1148100011,1,,,,,,,,,,,,,,,I,20221114,,
3148200012,1,,,,,,,,,,,,,,,I,20221114,,
1231200013,1,,,,,,,,,,,,,,,I,20221114,,
3178100014,1,,,,,,,,,,,,,,,I,20221114,,
1270100015,1,,,,,,,,,,,,,,,I,20221114,,
1140300016,1,,,,,,,,,,,,,,,I,20221114,,
1168100017,1,20220224,1830844,박**,30,대표이사사장,,,,,,,,,,I,20221114,,
6218100018,1,20220418,1592695,조**,30,대표이사사장,,,,,,,,,,I,20221114,,
1048600019,1,20220418,4041467,이**,30,대표이사사장,,,,,,,,,에스케이플래닛주 대표이사,I,20221114,,
1048600019,2,20220418,4041467,박**,108,본부장,,,,,,,,,,I,20221114,,
1048600019,3,20220418,4041467,정**,108,본부장,,,,,,,,,,I,20221114,,
1048600019,4,20220418,4041467,조**,999,기타,,,,,,,,,,I,20221114,,
6168100020,1,20220418,1677328,김**,71,이사,,,,,,,,,7,I,20221114,,
5118100021,1,,,,,,,,,,,,,,,I,20221114,,
8878800022,1,,,,,,,,,,,,,,,I,20221114,,
4268700023,1,,,,,,,,,,,,,,,I,20221114,,
1282200024,1,,,,,,,,,,,,,,,I,20221114,,
2298100025,1,20210902,1476281,오**,30,대표이사사장,,,,,06779,서울특별시 서초구 강남대로16길,"34, 101호 (양재동,신동아빌라)",상명대학교 대학원 경영학2015,F1컨설팅 대표,I,20221114,,
2298100025,2,20210902,1476281,김**,62,상무이사,경영지원,1,등기,Kim Hong Lae,,,,강남대학교,에프원컨설팅,I,20221114,,
2298100025,3,20210902,1476281,양**,71,이사,기타,1,등기,Yang Jae Hyeok,,,,한국외국어대학교,주한메소프트,I,20221114,,
1168100026,1,,,,,,,,,,,,,,,I,20221114,,
1168100027,1,,,,,,,,,,,,,,,I,20221114,,
4428800028,1,20211217,6507348,김**,30,대표이사사장,,,,,,,,,,I,20221114,,
1208800029,1,,,,,,,,,,,,,,,I,20221114,,
1018100030,1,20210902,1644507,유**,30,대표이사사장,,,,,,,,연세대학교 생화학과 박사 수료,"전제일제당종합기술원현, CJ수석연구원중국합자회사천진정원",I,20221114,,
1018100030,2,20210902,1644507,황**,60,기타비상무이사,,,,,,,,서울대학교 약학대학 약제학 석사1996.02,현 사단법인 신산업투자기구협의회 회장 산업통상자원부현,I,20221114,,
1018100030,3,20210902,1644507,윤**,62,상무이사,사업부,2,비등기,Yun Hyeong Su,,,,Washington MBA,전 한국인삼공사 해외사업실장전 CJ제일제당 식품글로벌기획,I,20221114,,
1018100030,4,20210902,1644507,이**,62,상무이사,기타,2,비등기,Lee Myeong Jae,,,,연세대학교,전삼성영상사업단전삼성물산주전로지트엔터테이먼트현,I,20221114,,
1018100030,5,20210902,1644507,김**,71,이사,기술,1,등기,Kim Du Sik,,,,"University of Tennessee, Knoxville Ph.D.",전사단법인한국생화학분자 생물학회 회장 전교육과학기술부,I,20221114,,
1018100030,6,20210902,1644507,이**,71,이사,자문,2,비등기,Lee Na Gyeong,,,,Univ. of lowa PostDoc.,Univ. of lowa PostDoc.서울대학교 약학대학원 연구원전 CJ종,I,20221114,,
1018100030,7,20210902,1644507,조**,71,이사,기술,1,등기,Jo Yang Je,,,,연세대학교 생화학과 박사,"전세종대학교 겸임교수전제일제당종합기술원현,CJ 수석연",I,20221114,,
1018100030,8,20210902,1644507,최**,81,감사,,1,등기,Choe Jong Du,,,,서울대학교 경영학 대학원 재무학석사1996,"전현대증권 IB본부 MA팀, IPO팀전삼일회계법인 공인회계",I,20221114,,
1018100030,9,20210902,1644507,김**,999,기타,,,,,,,,,포천중문의과대학교 생화학교실 조교수Univ. of Pennsylvania Me,I,20221114,,
1088100031,1,,,,,,,,,,,,,,,I,20221114,,
8071600032,1,,,,,,,,,,,,,,,I,20221114,,
6158100033,1,20210923,4084025,최**,30,대표이사사장,,,,,,,,,,I,20221114,,
1308600034,1,20220215,2775240,신**,28,대표이사,,,,,,,,,,I,20221114,,
6088100035,1,,,,,,,,,,,,,,,I,20221114,,
5068100036,1,,,,,,,,,,,,,,,I,20221114,,
1058700037,1,,,,,,,,,,,,,,,I,20221114,,
5040700038,1,,,,,,,,,,,,,,,I,20221114,,
1191900039,1,,,,,,,,,,,,,,,I,20221114,,
5892400040,1,,,,,,,,,,,,,,,I,20221114,,
6172900041,1,,,,,,,,,,,,,,,I,20221114,,
6211700042,1,,,,,,,,,,,,,,,I,20221114,,
6320100043,1,,,,,,,,,,,,,,,I,20221114,,
1018600044,1,20220226,2778268,김**,30,대표이사사장,,,,,,,,중앙대학교,유니브엑스포 서울 조직위원장,I,20221114,,
1178100045,1,20210902,1847185,송**,30,대표이사사장,,,,,,,,,"주LG유플러스 홈미디어부문장, 전무 20162019. 주LG유플",I,20221114,,
1178100045,2,20210902,1847185,윤*,49,부사장대우,기타,2,비등기,Yun Yong,,,,,CJ Hello 사업협력실장 2017 법무법인유 율촌 20122017,I,20221114,,
1178100045,3,20210902,1847185,이**,60,기타비상무이사,,,,,,,,,"주LG 통신서비스팀장, 상무 2019주LG유플러스 AIoT상품담",I,20221114,,
1178100045,4,20210902,1847185,강**,62,상무이사,사업부,2,비등기,Gang Myeong Sin,,,,한국외국어대학교 신문방송학 박사,LG헬로비전 영업그룹장2020 CJ Hello 미디어사업본부장20182,I,20221114,,
1178100045,5,20210902,1847185,이**,62,상무이사,기타,2,비등기,Lee Yeong Guk,,,,서울대학교,LG헬로비전 CSO 2020 CJ Hello HomeLiving사업본부 2019 CJ,I,20221114,,
1178100045,6,20210902,1847185,김**,65,상무보,기술,3,미분류,Kim Hong Ik,,,,,CJ Hello 기술담당 2018 CJ헬로비전 스마트기술팀 20132017,I,20221114,,
1178100045,7,20210902,1847185,고**,76,사외이사,,,,,,,,,"Smart Farm Go 대표 전 DLive 가입자서비스부문장COO, 부사장",I,20221114,,
1178100045,8,20210902,1847185,김**,76,사외이사,,,,,,,,,고려대 경영학과 교수 전 한국증권학회 학술연구위원회 위원장,I,20221114,,
1178100045,9,20210902,1847185,오**,76,사외이사,,,,,,,,,법무법인 태평양 대표변호사 전 미래창조과학부 통신요금심의위,I,20221114,,
1178100045,10,20210902,1847185,박**,999,기타,,,,,,,,,LG헬로비전 미디어사업담당 20182020 CJ Hello 나라방송 대표,I,20221114,,
1178100045,11,20210902,1847185,안**,999,기타,,,,,,,,,주LG유플러스 금융담당 2019주LG유플러스 회계담당 2017,I,20221114,,
1178100045,12,20210902,1847185,우**,999,기타,사업부,2,비등기,U Yeong Sang,,,,,LG헬로비전 모바일사업그룹장기업사업추진단장 2020 CJ Hello,I,20221114,,
