사업자등록번호,순번,데이터수집일자,발행년도,보고서등록번호,발행기관명,보고서한글명,보고서영문명,초록한글,초록영문,국문키워드,영문키워드,목차,발행국가명,사용언어,원문정보URL,과제고유번호,과제명,과제수행기관명,연구책임자명,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1240400001,1,20221102,2016,TRKO201600015288,에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구,Development of quantum repeater technology for the application to communication systems,연구개발성과양한 신규 챔버 설계 및 제작을 통한 챔버 구조 최적화 및 중성원자 발생용 오븐 정량적 평가 방법 개발2차 시스템용 레이저 주파수 모니터링 및 안정화 시스템 개발 Foc,,,,표지... 1정보통신방송 연구개발 4연차 보고서... 2제출문... 3목차... 6국문요약문... 7기술개발사업 주요 연구 성과... 12 1. 연구개발 목표... 12 2. 연구,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO201600015288,1711029261,통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구,SK텔레콤(주),곽**,I,20221114,,
1240400001,2,20221102,2016,TRKO201600002546,에스케이텔레콤(주),양자암호통신 네트워크 구축을 위한 요소기술 개발,Development of key technologies for quantum cryptography network,2 해당 연도 추진 실적1 개발 목표 주관기관에스케이텔레콤주 o GHz 급의 단일광자 신호 생성 단일광자 신호 생성부 모듈 1 GHz 동작 기술 개발o 1 GHz 급의 단일광자 검,,양자암호통신;양자암호키분배;단일광자 검출;얽힘광자 광원;양자 난수 생성;양자 원격전송;양자 네트워크;,,표지... 1제출문... 2연차보고서... 5. 해당 연도 추진 현황... 6 1. 기술개발 추진 일정... 6 2. 해당 연도 추진 실적... 7. 기술개발결과... 34 1 논,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO201600002546,1711026471,양자암호통신 네트워크 구축을 위한 요소기술 개발,SK텔레콤(주),조**,I,20221114,,
1240400001,3,20221102,2017,TRKO202100006941,에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구,Development of quantum repeater technology for the applicatiln to communication systems,,,이온트랩;양자얽힘;양자게이트;양자중계기;양자암호;,Ion trap;Quantum entanglement;Quantum gate;Quantum repeater;Quantum cryptography;,표지... 1제 출 문... 2보고서 요약서... 4요약문... 6목차... 28제 1장. 연구개발과제의 개요... 29제 2장. 연구수행내용 및 성과... 36 21절. 주관기관,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO202100006941,1711043011,통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구,SK텔레콤(주),곽**,I,20221114,,
1240400001,4,20221102,2018,TRKO202100008581,에스케이텔레콤(주),5G 기반 실감 미디어 및 응용 서비스 실증,,,,5G 시스템;가상현실/증강 현실 서비스;개인방송 서비스;스마트월 시스템;입체영상 디스플레이;,5th generation mobile communication system;Virtual Reality/ Augmented Reality Service;Personal Broad,표지... 1제 출 문... 2보고서 요약서... 3요약문... 4목차... 51. 연구개발과제의 개요... 62. 연구수행내용 및 성과... 8 21. 실감 미디어 서비스 기술.,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO202100008581,1711058529,5G 기반 실감 미디어 및 응용 서비스 실증,에스케이텔레콤㈜,장**,I,20221114,,
1240400001,5,20221102,2015,TRKO201600015259,에스케이텔레콤(주),양자암호통신 네트워크 구축을 위한 요소기술 개발,Development of key technologies for quantum cryptography network, 해당 연도 추진 현황1 기술개발 추진 일정2 해당 연도 추진 실적1 개발 목표 주관기관에스케이텔레콤주 o GHz 급의 단일광자 신호 생성을 위한 모듈 설계 및 제작 LD 광원 모,,양자암호통신;양자암호키분배;단일광자 검출;얽힘광자 광원;양자 난수 생성;양자 원격전송;양자 네트워크;,,표 지... 1제출문... 2연차보고서... 3. 해당 연도 추진 현황... 4 1 기술개발 추진 일정... 4 2 해당 연도 추진 실적... 6. 기술개발결과... 36 1 논문,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO201600015259,1711021943,양자암호통신 네트워크 구축을 위한 요소기술 개발,SK텔레콤(주),조**,I,20221114,,
1242100002,1,20221102,2015,TRKO201600015259,에스케이텔레콤(주),양자암호통신 네트워크 구축을 위한 요소기술 개발,Development of key technologies for quantum cryptography network, 해당 연도 추진 현황1 기술개발 추진 일정2 해당 연도 추진 실적1 개발 목표 주관기관에스케이텔레콤주 o GHz 급의 단일광자 신호 생성을 위한 모듈 설계 및 제작 LD 광원 모,,양자암호통신;양자암호키분배;단일광자 검출;얽힘광자 광원;양자 난수 생성;양자 원격전송;양자 네트워크;,,표 지... 1제출문... 2연차보고서... 3. 해당 연도 추진 현황... 4 1 기술개발 추진 일정... 4 2 해당 연도 추진 실적... 6. 기술개발결과... 36 1 논문,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO201600015259,1711021943,양자암호통신 네트워크 구축을 위한 요소기술 개발,SK텔레콤(주),조**,I,20221114,,
1242100002,2,20221102,2016,TRKO201600015288,에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구,Development of quantum repeater technology for the application to communication systems,연구개발성과양한 신규 챔버 설계 및 제작을 통한 챔버 구조 최적화 및 중성원자 발생용 오븐 정량적 평가 방법 개발2차 시스템용 레이저 주파수 모니터링 및 안정화 시스템 개발 Foc,,,,표지... 1정보통신방송 연구개발 4연차 보고서... 2제출문... 3목차... 6국문요약문... 7기술개발사업 주요 연구 성과... 12 1. 연구개발 목표... 12 2. 연구,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO201600015288,1711029261,통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구,SK텔레콤(주),곽**,I,20221114,,
1242100002,3,20221102,2016,TRKO201600002546,에스케이텔레콤(주),양자암호통신 네트워크 구축을 위한 요소기술 개발,Development of key technologies for quantum cryptography network,2 해당 연도 추진 실적1 개발 목표 주관기관에스케이텔레콤주 o GHz 급의 단일광자 신호 생성 단일광자 신호 생성부 모듈 1 GHz 동작 기술 개발o 1 GHz 급의 단일광자 검,,양자암호통신;양자암호키분배;단일광자 검출;얽힘광자 광원;양자 난수 생성;양자 원격전송;양자 네트워크;,,표지... 1제출문... 2연차보고서... 5. 해당 연도 추진 현황... 6 1. 기술개발 추진 일정... 6 2. 해당 연도 추진 실적... 7. 기술개발결과... 34 1 논,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO201600002546,1711026471,양자암호통신 네트워크 구축을 위한 요소기술 개발,SK텔레콤(주),조**,I,20221114,,
1242100002,4,20221102,2017,TRKO202100006941,에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구,Development of quantum repeater technology for the applicatiln to communication systems,,,이온트랩;양자얽힘;양자게이트;양자중계기;양자암호;,Ion trap;Quantum entanglement;Quantum gate;Quantum repeater;Quantum cryptography;,표지... 1제 출 문... 2보고서 요약서... 4요약문... 6목차... 28제 1장. 연구개발과제의 개요... 29제 2장. 연구수행내용 및 성과... 36 21절. 주관기관,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO202100006941,1711043011,통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구,SK텔레콤(주),곽**,I,20221114,,
1242100002,5,20221102,2018,TRKO202100008581,에스케이텔레콤(주),5G 기반 실감 미디어 및 응용 서비스 실증,,,,5G 시스템;가상현실/증강 현실 서비스;개인방송 서비스;스마트월 시스템;입체영상 디스플레이;,5th generation mobile communication system;Virtual Reality/ Augmented Reality Service;Personal Broad,표지... 1제 출 문... 2보고서 요약서... 3요약문... 4목차... 51. 연구개발과제의 개요... 62. 연구수행내용 및 성과... 8 21. 실감 미디어 서비스 기술.,대한민국,Korean,https://scienceon.kisti.re.kr/commons/util/originalView.do?dbt=TRKO&cn=TRKO202100008581,1711058529,5G 기반 실감 미디어 및 응용 서비스 실증,에스케이텔레콤㈜,장**,I,20221114,,
