사업자등록번호,순번,데이터수집일자,언론사명,기사날짜,기사제목,기사내용,기자명,URL링크,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1240400001,1,20220408,,,,,,,I,20221114,,
1242100002,1,20220408,매일경제,201910,2020년 ICT 10대 이슈는...5G보호무역주의AI,,,,I,20221114,,
1171400003,1,20220408,,,,,,,I,20221114,,
1212000004,1,20220408,이투데이,201908,"주간 주요 일정 거시경제금융회의 개최, 소재부품 수급 대응 지원센터 운영 현황, 밀산업육성법 제정8월 1923일",,,,I,20221114,,
1274000005,1,20220408,서울경제,202204,"단독 웹젠 노조, 게임업계 최초로 파업 결정",,,,I,20221114,,
1274000005,2,20220328,어패럴뉴스,202203,도호 온라인 공략 속도,,,,I,20221114,,
1058200006,1,20220531,인공지능신문,202201,"서강대, 파리크라상과 인공지능빅데이터 강화 위한 산학협력 한다",,,,I,20221114,,
5382500007,1,20221102,,,,,,,I,20221114,,
1198100008,1,20220408,공감신문,201809,한국콘텐츠진흥원 2018 콘텐츠 액셀러레이터스타트업 밋업개최,,,,I,20221114,,
1100200009,1,20220408,오마이뉴스,202202,그녀는 어쩌다 18개의 이름을 갖게 됐을까,,,,I,20221114,,
1388200010,1,20220408,교수신문,202204,"강원대 권호열 정보통신정책연구원장, 발전기금 1천만원 전달",,,,I,20221114,,
1388200010,2,20220328,더리포트,202202,AI 윤리적 개발활용 촉진 본격 논의 시동,,,,I,20221114,,
1148100011,1,20220408,여성소비자신문,202202,IT서비스 상장기업 기업평판 우수기업 2022년 2월 발표,,,,I,20221114,,
3148200012,1,20210914,에너지경제,201807,"재단법인 한국연구재단, 7월 26일목 13시까지 2018년 하반기 체험형 청년인...","관심기사얘는 내 친척 아닌데추석 연휴 서먹한 친족들, 법에서는 몇촌까지가 적당할까간밤 급등락 벼락 몰아친 라이트코인, 암호화폐 흔든 가짜뉴스에 외신들도 망신살서학개미 잡아라증권사 ",,,I,20221114,,
3148200012,2,20210914,에너지경제,201603,"재단법인 한국연구재단, 4월 8일금 17시까지 인턴 모집","관심기사얘는 내 친척 아닌데추석 연휴 서먹한 친족들, 법에서는 몇촌까지가 적당할까간밤 급등락 벼락 몰아친 라이트코인, 암호화폐 흔든 가짜뉴스에 외신들도 망신살서학개미 잡아라증권사 ",,,I,20221114,,
1231200013,1,20220408,G밸리뉴스,202008,"아가방앤컴퍼니, 디자인스킨 실리유 안심매트 출시 기념 포토리뷰 이벤트 진행",,,,I,20221114,,
3178100014,1,20211015,,,,,,,I,20221114,,
1270100015,1,20220408,ZDNet Korea,202107,올해의 기술사에 한국지멘스 고세진 상무 등 6명 선정15회 전국기술사 대회 열려,,,,I,20221114,,
1140300016,1,20220408,,,,,,,I,20221114,,
1168100017,1,20220408,한겨레,202204,4월4일 알림,,,,I,20221114,,
6218100018,1,,,,,,,,I,20221114,,
1048600019,1,20220530,,,,,,,I,20221114,,
6168100020,1,,,,,,,,I,20221114,,
5118100021,1,20221102,,,,,,,I,20221114,,
8878800022,1,,,,,,,,I,20221114,,
4268700023,1,,,,,,,,I,20221114,,
1282200024,1,20220408,,,,,,,I,20221114,,
2298100025,1,20220321,,,,,,,I,20221114,,
1168100026,1,20220321,,,,,,,I,20221114,,
1168100027,1,20220408,,,,,,,I,20221114,,
4428800028,1,,,,,,,,I,20221114,,
1208800029,1,20220408,한국경제,202204,자랑스런 토스인에게 대표가 주식 쏩니다,,,,I,20221114,,
1208800029,2,20220405,한국경제,202204,자랑스런 토스인에게 대표가 주식 쏩니다,,,,I,20221114,,
1208800029,3,20220328,스트레이트뉴스,202203,핀테크 금융의 빅스텝토스뱅크,,,,I,20221114,,
1018100030,1,20220321,,,,,,,I,20221114,,
1088100031,1,20220321,,,,,,,I,20221114,,
1088100031,2,20210607,연합뉴스,201802,"올림픽 수호랑, 사슴삽살개진돗개 등 경쟁 뚫고 낙점",,,,I,20221114,,
1088100031,3,20210607,뉴시스,201801,인터뷰잘하는 것에 집중해야수호랑 만든 이희곤 대표,서울뉴시스평창 동계올림픽 마스코트인 수호랑을 디자인한 캐릭터 개발 전문업체 매스씨앤지의 이희곤 대표. 2018.1.9사진매스씨앤지 제공 photonewsis.com서울뉴시스박정규 ,,,I,20221114,,
1088100031,4,20210607,머니S,201612,"스토리랩, 13일 상암DMC서 스타트업 데모데이 개최",,,,I,20221114,,
1088100031,5,20210607,매일경제,201802,중기info 국내 중소중견기업 평창 성공향해 우리도 뛴다,,,,I,20221114,,
1088100031,6,20210607,뉴시스,201708,항노화의 중심 산삼골 함양 스토리텔링 밑그림 완성,"함양뉴시스정경규 기자  경남 함양군은 8일 소회의실에서 스토리텔링 보고회를 열고있다.2017.08.08.사진함양군 제공 photonewsis.com함양군, 오는 9월 스토리텔링, ",,,I,20221114,,
1088100031,7,20210607,전자신문,201906,"희망일출 산행팀, 2019 릴레이 통일 희망일출 진행루게릭요양병원 건립 및...",3년 넘게 루게릭요양병원 건립 후원을 위한 등반에 나서고 있는 희망일출 산행팀대장 강희갑이 국내 9대 명산과 백두산을 등반하며 함께 감동을 누릴 기회를 만든다.최근 희망일출 산행팀,,,I,20221114,,
1088100031,8,20210607,오피니언뉴스,201810,사내벤처 지원프로그램 2차 운영기업에 18개사 선정," 중소벤처기업부는 23일 사내벤처 지원 프로그램의 2차 운영기업으로 엘지디스플레이, SK텔레콤, 한국중부발전 등 18개사를 추가 선정했다.그동안 신청기업 40개사를 대상으로 심층 ",,,I,20221114,,
