사업자등록번호,순번,데이터수집일자,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1240400001,1,20220501,1020180080791,단말장치 및 그 장치의 동작 방법,20180711,H04M1/724,,,2,10,I,20221114,,
1240400001,2,20220501,1020180080799,데이터 전송경로 스위칭 방법,20180711,H04W40/12,1,,1,3,I,20221114,,
1240400001,3,20220501,1020180080796,기지국장치 및 그 장치의 동작 방법,20180711,H04W52/0212,,,2,10,I,20221114,,
1240400001,4,20220501,1020180081240,영상 투사 장치,20180712,G03B21/28,1,,5,5,I,20221114,,
1240400001,5,20220501,1020180081123,Cnn 기반의 영상 부호화 또는 복호화 장치 및 방법,20180712,H04N19/105,,,5,18,I,20221114,,
1240400001,6,20220501,1020180081126,패킷 데이터 네트워크 게이트웨이 장치와 그 호 처리 방법,20180712,H04W4/24,1,,2,9,I,20221114,,
1240400001,7,20220501,1020180081834,Rf 중계기 및 그 제어방법,20180713,H04B7/15557,1,,1,13,I,20221114,,
1240400001,8,20220501,1020180081888,클라우드 컴퓨팅 기반의 모바일 오피스를 위한 보안 문서 처리 방법,20180713,G06F21/606,2,2,4,5,I,20221114,,
1240400001,9,20220501,1020180081615,영상 투사 장치,20180713,G03B21/147,1,,5,5,I,20221114,,
1240400001,10,20220501,1020180081772,영상 투사 장치,20180713,G03B21/147,1,,6,8,I,20221114,,
1242100002,1,20220501,1020180080791,단말장치 및 그 장치의 동작 방법,20180711,H04M1/724,,,2,10,I,20221114,,
1242100002,2,20220501,1020180080799,데이터 전송경로 스위칭 방법,20180711,H04W40/12,1,,1,3,I,20221114,,
1242100002,3,20220501,1020180080796,기지국장치 및 그 장치의 동작 방법,20180711,H04W52/0212,,,2,10,I,20221114,,
1242100002,4,20220501,1020180081240,영상 투사 장치,20180712,G03B21/28,1,,5,5,I,20221114,,
1242100002,5,20220501,1020180081123,Cnn 기반의 영상 부호화 또는 복호화 장치 및 방법,20180712,H04N19/105,,,5,18,I,20221114,,
1242100002,6,20220501,1020180081126,패킷 데이터 네트워크 게이트웨이 장치와 그 호 처리 방법,20180712,H04W4/24,1,,2,9,I,20221114,,
1242100002,7,20220501,1020180081834,Rf 중계기 및 그 제어방법,20180713,H04B7/15557,1,,1,13,I,20221114,,
1242100002,8,20220501,1020180081888,클라우드 컴퓨팅 기반의 모바일 오피스를 위한 보안 문서 처리 방법,20180713,G06F21/606,2,2,4,5,I,20221114,,
1242100002,9,20220501,1020180081615,영상 투사 장치,20180713,G03B21/147,1,,5,5,I,20221114,,
1242100002,10,20220501,1020180081772,영상 투사 장치,20180713,G03B21/147,1,,6,8,I,20221114,,
1171400003,1,20220430,1020180080791,단말장치 및 그 장치의 동작 방법,20180711,H04M1/724,,,2,10,I,20221114,,
1171400003,2,20220430,1020180080799,데이터 전송경로 스위칭 방법,20180711,H04W40/12,1,,1,3,I,20221114,,
1171400003,3,20220430,1020180080796,기지국장치 및 그 장치의 동작 방법,20180711,H04W52/0212,,,2,10,I,20221114,,
1171400003,4,20220430,1020180081240,영상 투사 장치,20180712,G03B21/28,1,,5,5,I,20221114,,
1171400003,5,20220430,1020180081123,Cnn 기반의 영상 부호화 또는 복호화 장치 및 방법,20180712,H04N19/105,,,5,18,I,20221114,,
1171400003,6,20220430,1020180081126,패킷 데이터 네트워크 게이트웨이 장치와 그 호 처리 방법,20180712,H04W4/24,1,,2,9,I,20221114,,
1171400003,7,20220430,1020180081834,Rf 중계기 및 그 제어방법,20180713,H04B7/15557,1,,1,13,I,20221114,,
1171400003,8,20220430,1020180081888,클라우드 컴퓨팅 기반의 모바일 오피스를 위한 보안 문서 처리 방법,20180713,G06F21/606,2,2,4,5,I,20221114,,
1171400003,9,20220430,1020180081615,영상 투사 장치,20180713,G03B21/147,1,,5,5,I,20221114,,
1171400003,10,20220430,1020180081772,영상 투사 장치,20180713,G03B21/147,1,,6,8,I,20221114,,
1212000004,1,20220501,1020180080791,단말장치 및 그 장치의 동작 방법,20180711,H04M1/724,,,2,10,I,20221114,,
1212000004,2,20220501,1020180080799,데이터 전송경로 스위칭 방법,20180711,H04W40/12,1,,1,3,I,20221114,,
1212000004,3,20220501,1020180080796,기지국장치 및 그 장치의 동작 방법,20180711,H04W52/0212,,,2,10,I,20221114,,
1212000004,4,20220501,1020180081240,영상 투사 장치,20180712,G03B21/28,1,,5,5,I,20221114,,
1212000004,5,20220501,1020180081123,Cnn 기반의 영상 부호화 또는 복호화 장치 및 방법,20180712,H04N19/105,,,5,18,I,20221114,,
1212000004,6,20220501,1020180081126,패킷 데이터 네트워크 게이트웨이 장치와 그 호 처리 방법,20180712,H04W4/24,1,,2,9,I,20221114,,
1212000004,7,20220501,1020180081834,Rf 중계기 및 그 제어방법,20180713,H04B7/15557,1,,1,13,I,20221114,,
1212000004,8,20220501,1020180081888,클라우드 컴퓨팅 기반의 모바일 오피스를 위한 보안 문서 처리 방법,20180713,G06F21/606,2,2,4,5,I,20221114,,
1212000004,9,20220501,1020180081615,영상 투사 장치,20180713,G03B21/147,1,,5,5,I,20221114,,
1212000004,10,20220501,1020180081772,영상 투사 장치,20180713,G03B21/147,1,,6,8,I,20221114,,
1274000005,1,20220502,1020170134253,"동영상 제공 장치, 동영상 제공 방법, 및 컴퓨터 프로그램",20171016,H04N21/4886,,1,8,6,I,20221114,,
1274000005,2,20220502,1020170135369,카메라 이펙트를 제공하는 방법 및 시스템,20171018,H04N5/272,3,,10,16,I,20221114,,
1274000005,3,20220502,1020170136294,"온라인 광고 컨텐츠의 제공 방법, 사용자 단말, 서버 및 프로그램",20171020,G06Q30/0277,,,2,1,I,20221114,,
1274000005,4,20220502,1020170144232,"어플리케이션 실행 방법, 장치 및 컴퓨터 프로그램",20171031,G06F3/1454,,1,15,29,I,20221114,,
1274000005,5,20220502,1020170144658,온라인 쇼핑을 위한 정보 제공방법 및 이를 위한 통합 서버,20171101,G06Q30/06,,,1,8,I,20221114,,
1274000005,6,20220502,1020170145200,오픈형 생중계 플랫폼,20171102,H04N21/2187,,,6,19,I,20221114,,
1274000005,7,20220502,1020170147146,전동식 이동 대차,20171107,B62B5/0073,1,,4,9,I,20221114,,
1274000005,8,20220502,1020170147141,전동식 이동 대차,20171107,B62B5/0073,1,,4,7,I,20221114,,
1274000005,9,20220502,1020170152353,인공지능 기기의 자동 불량 검출을 위한 방법 및 시스템,20171115,G10L15/01,,,7,14,I,20221114,,
1274000005,10,20220502,1020170155270,"단말 장치, 웹 서버 및 이들에 의한 검색 결과 제공 방법",20171121,G06F16/95,,,5,14,I,20221114,,
1058200006,1,20220426,1020160110318,체내 이식형 약물 주입 펌프 및 그 시스템,20160829,A61M5/14276,,,3,12,I,20221114,,
1058200006,2,20220426,1020160110992,공산품의 부품의 lot 번호 등록 및 등록된 lot 번호 정보가 포함된 부품 제조 정보를 제공하는 방법,20160830,G06Q50/04,,,1,1,I,20221114,,
1058200006,3,20220426,1020160110848,이차원 물질의 도메인 구조 측정 시스템 및 그 방법,20160830,G01N21/658,1,,2,9,I,20221114,,
1058200006,4,20220426,1020160111914,블록체인을 기반으로 한 파일 관리검색 시스템 및 파일 관리검색 방법,20160831,G06F17/30106,,9,2,15,I,20221114,,
1058200006,5,20220426,1020160111771,Mri 호환 방사선 영상기기,20160831,A61B5/055,2,,2,4,I,20221114,,
1058200006,6,20220426,1020160112534,내용 기반 이미지 검색을 위한 편집예제 기반 질의 이미지 생성 방법 및 시스템,20160901,G06F16/532,,,4,4,I,20221114,,
1058200006,7,20220426,1020160114995,균일하게 구조규칙적인 메조동공 TiO2B 합성 방법 및 이의 광화학적 광촉매 물성,20160907,C01G23/08,,,3,11,I,20221114,,
1058200006,8,20220426,1020160115405,유연 기판 상으로 금속 칼코게나이드 박막을 전사하는 방법,20160908,H01B5/14,,1,4,6,I,20221114,,
1058200006,9,20220426,1020160117931,깊이 카메라에 의한 스트리밍 영상에 대한 카메라 트래킹 방법 및 장치,20160913,H04N13/0246,,,1,9,I,20221114,,
1058200006,10,20220426,1020160119483,샷 경계 및 자막을 이용한 동영상 축약 방법 및 처리 장치,20160919,H04N21/8549,,1,2,10,I,20221114,,
5382500007,1,20220527,1020130084797,프리런 구간이 요구되지 않는 양 방향 기준 체적관,20130718,G01F25/00,,,2,3,I,20221114,,
5382500007,2,20220527,20130086810,베어링 결함 진단 시스템 및 그 진단 방법,20130723,G01M13/045,2,1,1,5,I,20221114,,
