사업자등록번호,순번,데이터수집일자,국내출원번호,DOCDB패밀리ID,DOCDB출원국가코드,DOCDB출원일자,DOCDB출원종류코드,DOCDB출원번호,DOCDB공보국가코드,DOCDB공보일자,DOCDB공보종류코드,DOCDB공보번호,작업구분코드,데이터생성일자,연계처리상태코드,연계처리일자
1240400001,1,20220509,,,,,,,,,,,I,20221114,,
1242100002,1,20220509,,,,,,,,,,,I,20221114,,
1171400003,1,20220509,,,,,,,,,,,I,20221114,,
1212000004,1,20221103,,,,,,,,,,,I,20221114,,
1274000005,1,20220510,,,,,,,,,,,I,20221114,,
1058200006,1,20220428,,,,,,,,,,,I,20221114,,
5382500007,1,20220531,,,,,,,,,,,I,20221114,,
1198100008,1,20220509,,,,,,,,,,,I,20221114,,
1100200009,1,20220509,,,,,,,,,,,I,20221114,,
1388200010,1,20220513,,,,,,,,,,,I,20221114,,
1148100011,1,20220509,,,,,,,,,,,I,20221114,,
3148200012,1,20220521,1020140146236,,,,,,,,,,I,20221114,,
3148200012,2,20220521,1020140068180,,,,,,,,,,I,20221114,,
3148200012,3,20220521,1020180034171,,,,,,,,,,I,20221114,,
3148200012,4,20220521,1020140068165,52592229,KR,20150212,W,2015001429,WO,20151210,A1,2015186891,I,20221114,,
3148200012,5,20220521,1020180078028,,,,,,,,,,I,20221114,,
3148200012,6,20220521,1020140002812,51760652,US,20140609,A,201414299301,US,20170711,B2,9704133,I,20221114,,
3148200012,7,20220521,1020140002812,51760652,US,20140609,A,201414299301,US,20150709,A1,2015193520,I,20221114,,
1231200013,1,20221103,,,,,,,,,,,I,20221114,,
3178100014,1,20220521,1020200058090,,,,,,,,,,I,20221114,,
1270100015,1,20220510,,,,,,,,,,,I,20221114,,
1140300016,1,20220509,,,,,,,,,,,I,20221114,,
1168100017,1,20220509,,,,,,,,,,,I,20221114,,
6218100018,1,20220604,,,,,,,,,,,I,20221114,,
1048600019,1,20220428,,,,,,,,,,,I,20221114,,
6168100020,1,20220604,,,,,,,,,,,I,20221114,,
5118100021,1,20220531,,,,,,,,,,,I,20221114,,
8878800022,1,20220606,,,,,,,,,,,I,20221114,,
4268700023,1,20220525,,,,,,,,,,,I,20221114,,
1282200024,1,20220510,,,,,,,,,,,I,20221114,,
2298100025,1,20220517,,,,,,,,,,,I,20221114,,
1168100026,1,20220509,,,,,,,,,,,I,20221114,,
1168100027,1,20220509,,,,,,,,,,,I,20221114,,
4428800028,1,20220525,1020160107480,,,,,,,,,,I,20221114,,
1208800029,1,20221103,,,,,,,,,,,I,20221114,,
1018100030,1,20221103,,,,,,,,,,,I,20221114,,
1088100031,1,20220428,,,,,,,,,,,I,20221114,,
8071600032,1,20220605,1020180037697,,,,,,,,,,I,20221114,,
8071600032,2,20220605,1020080119623,,,,,,,,,,I,20221114,,
8071600032,3,20220605,1020180037737,,,,,,,,,,I,20221114,,
8071600032,4,20220605,1020180032911,,,,,,,,,,I,20221114,,
8071600032,5,20220605,1020180036356,,,,,,,,,,I,20221114,,
6158100033,1,20220604,,,,,,,,,,,I,20221114,,
1308600034,1,20220511,,,,,,,,,,,I,20221114,,
6088100035,1,20220603,,,,,,,,,,,I,20221114,,
5068100036,1,20220530,,,,,,,,,,,I,20221114,,
1058700037,1,20220428,,,,,,,,,,,I,20221114,,
5040700038,1,20220526,,,,,,,,,,,I,20221114,,
1191900039,1,20220509,,,,,,,,,,,I,20221114,,
5892400040,1,20220603,,,,,,,,,,,I,20221114,,
6172900041,1,20220604,,,,,,,,,,,I,20221114,,
6211700042,1,20220604,,,,,,,,,,,I,20221114,,
6320100043,1,20220604,,,,,,,,,,,I,20221114,,
1018600044,1,20221103,,,,,,,,,,,I,20221114,,
1178100045,1,20220509,1020190044083,,,,,,,,,,I,20221114,,
1178100045,2,20220509,1020200138572,,,,,,,,,,I,20221114,,
1178100045,3,20220509,1020190053186,,,,,,,,,,I,20221114,,
1208600046,1,20220509,1020160082860,,,,,,,,,,I,20221114,,
1208600046,2,20220509,1020160082839,,,,,,,,,,I,20221114,,
